dlga_start:close_window|Warning: This line is never displayed. It is just for storing conversation variables.
dlga_lord_tell_mission_capture_enemy_hero_accepted:close_window|Ich mag Eure Tatkraft! Geht hin und bringt mir einen unserer Feinde. Ob Eurer Rückkehr werde ich in meiner Halle auf Euer Wohl anstoßen! Und Euch natürlich für Eure Bemühungen belohnen ...
dlga_lord_tell_mission_capture_enemy_hero_rejected:lord_pretalk|Offensichtlich fehlt Euch der Eifer, den ich in Euch zu sehen geglaubt hatte. Nun gut, {playername}, ich werde jemand anderen für diese Aufgabe finden.
dlga_lord_tell_mission:lord_tell_mission_lend_companion|Momentan habe ich keine Aufgabe für Euch, doch Euer Gefährte {s3} ist wahrlich geschickt, und ich benötige jemand mit {reg3?seinen:ihren} Talenten. Würdet Ihr mir {reg3?sie:ihn} für eine Weile ausleihen?
dlga_lord_tell_mission_lend_companion:lord_tell_mission_lend_companion_2|Wie lange würdet Ihr {reg3?sie:ihn} benötigen?
dlga_lord_tell_mission_lend_companion_2:lord_mission_lend_companion_told|Nur ein paar Tage, doch höchstens eine Woche.
dlga_lord_mission_lend_companion_told:lord_tell_mission_lend_companion_accepted|Dann werde ich Euch {s3} für eine Woche überstellen.
dlga_lord_mission_lend_companion_told:lord_tell_mission_lend_companion_rejected|Es tut mir Leid, aber ich kann keine ganze Woche ohne {s3} auskommen.
dlga_lord_tell_mission_lend_companion_accepted:close_window|Ich kann Euch gar nicht genug danken, {playername}. Sorgt Euch nicht, Euer Gefährte wirkt in gebührender Eile zu Euch zurückkehren.
dlga_lord_tell_mission_lend_companion_rejected:lord_pretalk|Nun, das ist wirklich verdammt schade, aber ich kann Euch oder {s3} wohl nicht zum Einverständnis zwingen. Dann muss ich es halt ohne Hilfe schaffen.
dlga_lord_tell_mission:lord_tell_mission_collect_debt|Vor langer Zeit lieh ich {s3} eine beträchtliche Summe Geld, {reg4} Dinare, um genau zu sein. Er hätte es innerhalb eines Monats zurückzahlen sollen, doch bis jetzt habe ich nicht eine Münze gesehen. Wenn Ihr meine Schulden für mich bei ihm eintreiben könntet, wäre ich Euch sehr dankbar. Ich würde Euch sogar den Fünften für Eure Mühen überlassen. Was meint Ihr?
dlga_lord_tell_mission_collect_debt:lord_tell_mission_collect_debt_2|{s65}, wisst Ihr, wo ich {s3} finden kann?
dlga_lord_tell_mission_collect_debt_2:lord_tell_mission_collect_debt_3|Wenn Ihr sofort aufbrecht, solltet Ihr ihn in {s4} finden können. Ich habe keinen Zweifel daran, dass sein Verhalten ihn gebührend beschämt und er Euch daher alles Geld geben wird, das er mir schuldet.
dlga_lord_tell_mission_collect_debt_3:lord_tell_mission_collect_debt_accepted|Dann werde ich an Euer Statt mit {s3} sprechen.
dlga_lord_tell_mission_collect_debt_3:lord_tell_mission_collect_debt_rejected|Vergebt mir, {s65}, aber ich bezweifle, dass ich erfolgreicher als Ihr selbst sein würde.
dlga_lord_tell_mission_collect_debt_accepted:close_window|Durch Eure Zusage habt Ihr mich sehr glücklich gemacht, {playername}. Bitte, sprecht mit {s3} und verlasst ihn nicht ohne mein Geld.
dlga_lord_tell_mission_collect_debt_rejected:lord_pretalk|Vielleicht nicht, {playername}. Dieses Geld werde ich vermutlich nie zurückbekommen ...
dlga_lord_tell_mission:lord_tell_mission_incriminate_commander|Ich sage Euch, dieser flennende Narr {s13} ist nicht zur Herrschaft über {s14} geeignet. Jeder weiß, dass er augenblicklich seiner Ländereien beraubt werden würde, wäre da nicht {s15}, einer seiner treuen Vasallen. Solange ihm dieser Vasall zur Seite steht, wird es sehr schwer, ihn zu schlagen. Deshalb muss {s15} aus dem Weg geschafft werden, und ich weiß auch schon wie ... mit Eurer Hilfe natürlich.
dlga_lord_tell_mission_incriminate_commander:lord_tell_mission_incriminate_commander_2|{s66}, ich bin ganz Ohr.
dlga_lord_tell_mission_incriminate_commander:lord_tell_mission_incriminate_commander_rejected|Ich möchte nicht in unehrenhafte Handlungen gegen {s15} hineingezogen werden.
dlga_lord_tell_mission_incriminate_commander_rejected:lord_pretalk|Unehrenhaft? Pfui! Und ich hoffte, auf Euch zählen zu können, {playername}, doch Ihr habt mir gezeigt, was für ein Narr ich gewesen bin. Ich werde jemanden finden müssen, auf dessen Loyalität ich vertrauen kann.
dlga_lord_tell_mission_incriminate_commander_2:lord_tell_mission_incriminate_commander_3|Ich werde {s15} einen gefälschten Brief mit meinem Siegel schreiben, der impliziert, dass er mit uns eine Verschwörung zum Sturze des Herrschers von {s14} betreibt – zu meinen Gunsten. Wenn wir {s13} von der Echtheit des Briefes überzeugen können, wird er mit {s15} kurzen Prozess machen. Natürlich besteht die Schwierigkeit darin, {s13} von der Echtheit des Briefes zu überzeugen ...
dlga_lord_tell_mission_incriminate_commander_3:lord_tell_mission_incriminate_commander_4|Bitte, {s65}, fahrt fort ...
dlga_lord_tell_mission_incriminate_commander_3:lord_tell_mission_incriminate_commander_rejected|Nein, ich werde meine Ehre nicht mit diesem unehrenhaften Ränkespiel besudeln.
dlga_lord_tell_mission_incriminate_commander_4:lord_tell_mission_incriminate_commander_5|Und an dieser Stelle kommt Ihr ins Spiel: Ihr werdet den Brief zu {s14} bringen, und ihn dann von einem Eurer Soldaten an {s15} übergeben lassen. Ich werde der Stadtgarnison über einen meiner Spione einen Tipp geben, damit Euer Mann unterwegs verhaftet wird. Die Wachen werden den Brief finden und ihn {s13} überreichen. Natürlich werden Sie Euren Mann foltern, um die Wahrheit aus ihm heraus zu bekommen, doch er weiß ja nur, dass Ihr ihm befohlen habt, den Brief unter größter Geheimhaltung an {s15} zu überbringen. {s13} weiß, dass Ihr mir dient, und dieser Narr wird unserer Scharade mit Sicherheit Glauben schenken.
dlga_lord_tell_mission_incriminate_commander_5:lord_tell_mission_incriminate_commander_7|Ist das alles?
dlga_lord_tell_mission_incriminate_commander_7:lord_tell_mission_incriminate_commander_8|Da gäbe es noch eine Sache ... euer Bote muss vertrauenswürdig sein. Wenn Ihr den Brief von einem einfachen Bauern befördern ließet, einer ersetzbaren Person, könnte {s13} eine Verschwörung vermuten. Er mag zwar das Hirnschmalz einer Schnecke haben, doch selbst eine Schnecke kann eins und eins zusammenzählen. Gebt den Brief also einer ranghohen Person. Vielleicht einem Eurer {s9}.
dlga_lord_tell_mission_incriminate_commander_8:lord_tell_mission_incriminate_commander_9|Was? Ich kann doch keinen meiner treuen {s9} in den Tod schicken!
dlga_lord_tell_mission_incriminate_commander_8:lord_tell_mission_incriminate_commander_fin|Dann werde ich einen {s8} schicken.
dlga_lord_tell_mission_incriminate_commander_9:lord_tell_mission_incriminate_commander_10|Kommt schon, {playername}. Es gibt Momente für Sentimentalität, aber dies ist keiner von ihnen. Glaubt mir, Ihr würdet großzügig entschädigt werden. Ist es nicht der Sinn und Zweck von Soldaten, auf unser Geheiß hin zu sterben?
dlga_lord_tell_mission_incriminate_commander_10:lord_tell_mission_incriminate_commander_fin|Wohlan, es bleibt bei einem {s8}.
dlga_lord_tell_mission_incriminate_commander_10:lord_tell_mission_incriminate_commander_rejected|Nein, ich werde keinen meiner treuen Mannen opfern.
dlga_lord_tell_mission_incriminate_commander_fin:lord_pretalk|Ihr ahnt nicht, {playername}, wie sehr es mir erfreut, dies zu hören. Ihr räumt eines der größten Hindernisse auf meinem Weg zur Seite. Hier ist der Brief sowie 300 Dinar für Eure Ausgaben. Vergesst nicht, solltet Ihr Erfolg haben, gibt es noch mehr zu verdienen. Viel, viel mehr ...
dlga_lord_tell_mission:lord_mission_told.2|Bei einem kürzlichen Scharmützel mit dem Feind ist eine Gruppe meiner Soldaten in Gefangenschaft geraten. Gott sei Dank konnte ein Gefangenenaustausch vereinbart werden, doch wir sollen ihnen ebenso viele Gefangene von vergleichbarem Rang bringen – Gefangene, die ich momentan nicht habe. Aus diesem Grund benötige ich einen guten {Mann/Krieger}, der mir {reg1} {s3} als Gefangene bringt, die ich gegen meine Leute austauschen kann.
dlga_lord_tell_mission:lord_pretalk|Nein, {playername}. Momentan benötige ich Eure Hilfe nicht.
dlga_lord_mission_told:lord_mission_accepted|Ihr könnt auf mich zählen, {s65}.
dlga_lord_mission_told:lord_mission_rejected|Ich fürchte, einen derartigen Auftrag kann ich momentan nicht akzeptieren.
dlga_lord_mission_accepted:close_window|Hervorragend, {playername}, ganz ausgezeichnet. Ich habe völliges Vertrauen in Euch.
dlga_lord_mission_rejected:close_window|Ach, tatsächlich? Nun, vermutlich seid Ihr der Aufgabe einfach nicht gewachsen. Ich werde mich nach jemand mit mehr Mumm in den Knochen umsehen müssen.
dlga_lord_talk:lord_leave_prison|Ich muss jetzt gehen.
dlga_lord_talk:lord_leave|Diese Audienz ist beendet. Ich gehe jetzt.
dlga_lord_talk:lord_leave.1|Ich muss mich nun empfehlen.
dlga_lord_leave:lord_leave_give_quest|Bevor Ihr geht, {playername}, möchte ich Euch noch um etwas bitten ... wir mögen in diesem Krieg zwar Feinde sein, doch ich hoffe inständig, dass wir uns gegenseitig trotzdem mit Respekt behandeln können. Deshalb dachte ich mir, dass Ihr gütig genug wäret, mir bei einer wichtigen Angelegenheit zu helfen.
dlga_lord_leave_give_quest:enemy_lord_tell_mission|Ich höre zu.
dlga_enemy_lord_tell_mission:lord_mission_told|Einer meiner Freunde, ein altgedienter Krieger, ist sehr krank. Ein Übel hat eine alte Kriegswunde infiziert, und wenn sich nicht bald ein Wundarzt um ihn kümmert, wird er sicherlich sterben. Dieser Mann steht mir nahe, {playername}, doch er ist stur wie ein Esel, und lässt keinen meiner Ärzte an sich heran, weil er ihnen nicht traut. Ich hörte, dass Ihr einen fähigen Wundarzt bei Euch habt, Wenn Ihr ihn meinen Freund behandeln lassen würdet, könnte {reg3?sie:er} ihn vielleicht überreden, einer Operation zuzustimmen. Ich flehe Euch an - tief  würde ich in Eurer Schuld stehen, wenn Ihr mir diese Bitte gewährtet.
dlga_enemy_lord_tell_mission:close_window|ERROR: MATCHED WITH QUEST: {s7}.
dlga_lord_leave_prison:close_window|Wir werden uns wiedersehen.
dlga_lord_leave:close_window|Natürlich, {playername}. Lebt wohl.
dlga_lord_leave:close_window.1|Ich wünsche Euch eine gute Reise, {playername}.
dlga_lord_leave:close_window.2|Jawohl, ja. Lebt wohl.
dlga_lord_leave:close_window.3|Wir werden uns wiedersehen.
dlga_member_chat:lady_journey_1|Genießt Ihr die Reise, {s65}?
dlga_lady_journey_1:close_window|Ja, es geht mir gut, {playername}. Ich danke Euch für Eure Aufmerksamkeit.
dlga_start:lady_qst_duel_for_lady_succeeded_1|Oh {playername}, wie glücklich ich bin, Euch wieder zu sehen! Ich hörte, Ihr gabt diesem bösen {s13} eine wohl verdiente Lektion. Hoffentlich wird er diese Erniedrigung niemals vergessen. Ich habe eine Belohnung für Euch, doch ich fürchte, im Vergleich zu Euren Taten ist sie gering.
dlga_lady_qst_duel_for_lady_succeeded_1:lady_qst_duel_for_lady_succeeded_2|Oh, das wird einfach reichen müssen
dlga_lady_qst_duel_for_lady_succeeded_1:lady_qst_duel_for_lady_succeeded_2.1|{s66}, das ist viel zu viel!
dlga_lady_qst_duel_for_lady_succeeded_1:lady_qst_duel_for_lady_succeeded_2.2|Ach bitte, {s65}, eine Belohnung ist unnötig!
dlga_lady_qst_duel_for_lady_succeeded_2:lady_pretalk|{s10}
dlga_start:lady_qst_duel_for_lady_failed|{playername}, man sagte mir, dass Ihr von {s13} Genugtuung einfordertet, um meine Unschuld zu beweisen. Dies war eine noble Geste, und ich danke Euch für Eure Bemühungen.
dlga_lady_qst_duel_for_lady_failed:lady_qst_duel_for_lady_failed_2|{s65}, ich flehe Euch an, vergebt mir meine Niederlage ...
dlga_lady_qst_duel_for_lady_failed_2:lady_pretalk|Es spielt keine Rolle, oh {playername}. Ihr habt es versucht. Die Wahrheit kann nicht mit der Schneide eines Schwertes bewiesen werden, doch Ihr habt Euer Leben bewusst für meine Ehre aufs Spiel gesetzt. Dies alleine wird viele von meiner Unschuld überzeugen.
dlga_start:lady_escort_lady_succeeded|Danke, dass Ihr mich hierher eskortiert habt, {playername}. Bitte akzeptiert dieses Geschenk als Zeichen meines Danks. Ich hoffe, dass sich unsere Wege in der Zukunft wieder kreuzen werden.
dlga_lady_escort_lady_succeeded:close_window|Es war mir eine Ehre, Euch zu dienen, {s65}.
dlga_start:lady_generic_mission_succeeded|Oh, {playername}, Ihr habt ihn mir zurückgebracht! Ich danke Euch so sehr, dass Ihr meinen Ehemann gerettet habt. Bitte, nehmt dies als bescheidene Bezahlung für Eure noblen Dienste.
dlga_lady_generic_mission_succeeded:lady_pretalk|{s65}, ich bin Euch stets gerne zu Diensten.
dlga_start:lady_premeet|Ihr kommt mir nicht bekannt vor ...
dlga_lady_premeet:lady_meet|Ich bin {playername}.
dlga_lady_premeet:lady_meet.1|Mein Name lautet {playername}. Stehe zu Diensten.
dlga_lady_meet:lady_meet_end|{playername}? Ich glaube nicht, jemals von Euch gehört zu haben.
dlga_lady_meet_end:lady_talk|Kann ich Euch mit etwas behilflich sein?
dlga_start:lady_talk|Ja?
dlga_lady_pretalk:lady_talk|Noch etwas?
dlga_lady_talk:lady_ask_for_quest|Gibt es etwas, mit dem ich Eure Gunst gewinnen könnte?
dlga_lady_ask_for_quest:lady_pretalk|Momentan habe ich keine anderen Aufgaben für Euch.
dlga_lady_ask_for_quest:lady_mission_told|Oh, ich fürchte {s13}, meinen {s17}, nie wieder zu sehen ... Er ist Gefangener in den Kerkern von {s14}. Wir haben versucht, ihn frei zu kaufen, doch das Lösegeld war zu hoch. Ohne unser ganzen Hab und Gut zu verkaufen werden wir so viel Geld niemals aufbringen können, und {s13} würde lieber sein ganzes Leben im Kerker darben, als uns bettelarm zu wissen. Stattdessen habe ich mir einen Plan zu seiner Befreiung ausgedacht, doch dazu muss jemand ein großes Opfer bringen ... und bis jetzt ist mein Flehen auf taube Ohren gestoßen ...
dlga_lady_ask_for_quest:lady_mission_told.1|Mein armer {s17}, {s13}, ist ein Gefangener in den Kerkern von {s14}. Unsere einzige Korrespondenz ist auf Briefe beschränkt, wann immer sich dazu die Möglichkeit bietet, doch die Reise ist so gefährlich, dass wir nur wenige Gelegenheiten dazu haben. Bitte, würdet ihr einen für mich abliefern?
dlga_lady_ask_for_quest:lady_quest_duel_for_lady|Oh {playername}, Eure Frage zeugt von großer Güte, doch Ihr wisst so wenig von meiner Pein, und ich kann Euch unmöglich darum bitten, Euch meinethalben in Gefahr zu bringen.
dlga_lady_quest_duel_for_lady:lady_quest_duel_for_lady_2|Erzählt mir von dem Problem, und ich werde meine eigene Entscheidung treffen.
dlga_lady_quest_duel_for_lady_2:lady_quest_duel_for_lady_3|Nun gut, wir Ihr wünscht ... mein Ehemann hat sich im Leben einige Feinde geschaffen, {playername}. Einer der heimtückischsten davon ist {s13}, der überall schreckliche Anschuldigungen gegen mich aufbringt und meine Ehre bei jeder Gelegenheit besudelt! Da er meinem Ehemann nicht direkt schaden kann, hat er es auf mich abgesehen, um unseren guten Namen zu beschmutzen. Oh, wenn Ihr nur die fürchterlichen Dinge hörtet, die er über mich verbreitet! Wenn nur ein tapferer Recke ihn dazu bringen könnte, seine Schmähworte zu widerrufen - doch {s13} ist gar geschickt mit dem Schwerte und alle fürchten ihn ...
dlga_lady_quest_duel_for_lady_3:lady_quest_duel_for_lady_3_accepted|Ich fürchte ihn nicht, {s65}. Ich werde ihn dazu bringen, seine Lügen zu korrigieren.
dlga_lady_quest_duel_for_lady_3_accepted:close_window|Oh! Das kann ich unmöglich von Euch verlangen, {playername}, doch ... ich würde für immer in Eurer Schuld stehen. Ihr scheint Eurer Sache so sicher zu sein. Es würde mir so viel bedeuten, wenn Ihr meine Ehre verteidigen würdet. Ich danke Euch tausendfach.
dlga_lady_quest_duel_for_lady_3:lady_quest_duel_for_lady_3_rejected|Wenn er derart gefährlich ist, wäre es vielleicht besser, ihn zu ignorieren ...
dlga_lady_quest_duel_for_lady_3_rejected:close_window|Oh ... Vielleicht habt Ihr Recht, {playername}. Ich sollte diesen dummen Kindheitsideale von Ritterlichkeit und Heldenmut entsagen ... {Männer/Menschen} sind nicht so, nicht mehr. Ich wünsche Euch einen guten Tag.
dlga_lady_ask_for_quest:lady_pretalk.1|Nein, {playername}, momentan habe ich keinen Bedarf für einen Gönner.
dlga_lady_mission_told:lady_mission_accepted|Wie Ihr wünscht, {s65}, so soll es sein.
dlga_lady_mission_told:lady_mission_rejected|{s66}, ich fürchte, damit kann ich Euch jetzt nicht helfen.
dlga_lady_mission_accepted:close_window|{playername}, Euch {Ehrenmann/Ehrenfrau} zu nennen, ist wahrlich angebracht. Ich danke Euch so sehr für Eure Hilfe.
dlga_lady_mission_rejected:close_window|Ihr werdet keiner bedürftigen Frau helfen? Ihr solltet Euch schämen, {playername} ... Bitte verlasst mich nun, ich habe mich wichtiger Stickarbeit zu widmen.
dlga_lady_talk:lady_restore_relation|Ich möchte meine Beziehungen zu einem Fürsten verbessern. Könnt Ihr mir dabei helfen?
dlga_lady_restore_relation:lady_pretalk|{playername}, ich kenne Euch nicht genug, um in Eurem Namen zu handeln. Es tut mir Leid.
dlga_lady_restore_relation:lady_restore_relation_2|Hmmm. Ich vermute, dass Ihr mit jemanden auf falschem Fuße steht. Nun gut, mit wem möchtet Ihr Eure Beziehungen verbessern?
dlga_lady_restore_relation_2:lady_restore_relation_2b|{s1}
dlga_lady_restore_relation_2:lady_pretalk|Schon gut. Ich komme mit allen gut genug aus.
dlga_lady_restore_relation_2b:lady_restore_relation_3|Nun, ich kann versuchen, Euch zu helfen. Sicherlich werden Euch einige teure Geschenke in den Augen von {s10} in besserem Lichte erscheinen lassen.
dlga_lady_restore_relation_3:lady_restore_relation_4|Ihr könnt Eure Beziehungen zu {s10} verbessern, indem Ihr ihm ein Geschenk im Wert von {reg10} Dinaren schenkt. Doch wenn Ihr {reg11} Dinare für das Geschenk ausgeben könntet, würde es einen guten Eindruck auf {reg4?sie:ihn} machen. Und wenn Ihr gar {reg12} Dinare dafür übrig hättet, würde das sicherlich alle Wogen glätten.
dlga_lady_restore_relation_4:lady_restore_relation_5|Ich glaube, ein Geldgeschenk von {reg10} Dinar sollte ausreichen.
dlga_lady_restore_relation_4:lady_restore_relation_5.1|Viellicht kann ich mir {reg11} Dinar leisten.
dlga_lady_restore_relation_4:lady_restore_relation_5.2|In diesem Fall bin ich bereit, {reg12} Dinar auszugeben.
dlga_lady_restore_relation_4:lady_restore_relation_cant_afford|Ich denke nicht, dass ich mir momentan ein Geschenk leisten kann.
dlga_lady_restore_relation_5:lady_restore_relation_6|Ausgezeichnet, dann werde ich ein geeignetes Geschenk für Euch aussuchen, und es dann mit Euren Grüßen an {s10} schicken. {reg4?Sie:Er} wird diese Geste sicherlich zu schätzen wissen.
dlga_lady_restore_relation_6:lady_pretalk|Ich danke Euch für Eure Hilfe, Herrin.
dlga_lady_restore_relation_cant_afford:lady_pretalk|{playername}, ich fürchte, in diesem Fall werde ich Euch keine große Hilfe sein können. Es tut mir Leid.
dlga_lady_talk:lady_leave|Ich muss mich nun empfehlen..
dlga_lady_leave:close_window|Lebt wohl, {playername}.
dlga_convince_begin:convince_options|Ich sehe immer noch nicht, weshalb ich akzeptieren sollte, was Ihr von mir verlangt.
dlga_convince_options:convince_bribe|Dann werde ich dafür sorgen, dass Ihr auf Eure Kosten kommt. ({reg8} Dinar)
dlga_convince_options:convince_friendship|Bitte, macht es unserer Freundschaft zuliebe. (-{reg9} auf Beziehung)
dlga_convince_options:convince_persuade_begin|Gebt mir eine Gelegenheit, Euch zu überzeugen. (Überzeugungskraft)
dlga_convince_options:lord_pretalk|Schon gut.
dlga_convince_bribe:convince_bribe_verify|Hmmm, ein großzügiger Beitrag zu meiner Schatzkammer würde sicherlich hilfreich sein ... {reg8} Dinare sollten genügen. Wenn Ihr einverstanden seid, dann werde ich Euren Vorschlag akzeptieren.
dlga_convince_bribe_verify:convince_bribe_cant_afford|Ich befürchte, meine Finanzen gestatten ein solches Geschenk nicht.
dlga_convince_bribe_verify:convince_bribe_goon|Nun gut, bitte nehmt diese {reg8} Dinare als Zeichen meiner Dankbarkeit.
dlga_convince_bribe_verify:convince_begin|Lasst mich noch etwas länger darüber nachdenken.
dlga_convince_bribe_cant_afford:convince_options|Ah. In diesem Fall kann ich wenig für Euch tun, es sei denn, Ihr bringt ein neues Argument vor.
dlga_convince_bribe_goon:convince_accept|Oh {playername}, Euer großzügiges Geschenk ließ mich Euer Ansinnen überdenken, und ich muss sagen, dass mich die Weisheit Eures Vorschlags zu schätzen weiß.
dlga_convince_friendship:convince_friendship_verify|Ihr habt mir in der Vergangenheit gute Dienste geleistet, {playername}, und deshalb werde ich Eurem Ansinnen stattgeben. Seid Euch jedoch bewusst, dass ich es nicht schätze, dass Ihr unsere Freundschaft auf diese Weise ausnutzt.
dlga_convince_friendship_verify:convince_friendship_go_on|Verzeiht, mein Freund, doch ich benötige hierbei Eure Hilfe.
dlga_convince_friendship_verify:lord_pretalk|Wenn es Euch nicht zur Genüge reicht, werde ich etwas anderes versuchen.
dlga_convince_friendship_go_on:convince_accept|Nun gut, {playername}, ich werde dies Euch zuliebe akzeptieren. Vergesst jedoch nicht, dass Ihr nun in meiner Schuld steht.
dlga_convince_friendship:lord_pretalk|{playername}, ich glaube nicht, dass ich euch einen derartigen Gefallen schuldig bin. Ich sehe keinen Grund dafür, dies von Euch zu akzeptieren.
dlga_convince_friendship:lord_pretalk.1|Euch beliebt wohl zu Scherzen? Eure Dreistigkeit, mich um einen Gefallen zu bitte, ist wahrlich allerhand, {playername}. Und seid Euch sicher: Ihr werdet keinen bekommen.
dlga_convince_persuade_begin:convince_persuade_begin_2|Nun gut. Bringt Euren Fall vor.
dlga_convince_persuade_begin_2:convince_persuade|[Überzeugungsversuch]
dlga_convince_persuade_begin_2:convince_begin|Wartet, vielleicht gibt es einen anderen Weg, Euch zu überzeugen.
dlga_convince_persuade_begin:lord_pretalk|Beim Allmächtigen, {playername}, haben wir nicht schon genug geplaudert? Euch zuzuhören, ist mir leid, und ich habe jetzt genug von Eurem Geschwätz.
dlga_convince_persuade:convince_accept|Schon gut, schon gut. Ihr habt mich überzeugt. Ich werde mich an Euren Vorschlag halten.
dlga_convince_persuade:convince_options|Euer Standpunkt macht Sinn, {playername}, so viel möchte ich Euch zugestehen. Trotzdem bin ich noch nicht überzeugt, dass ich nach Eurem Vorschlag handeln sollte.
dlga_convince_persuade:convince_options.1|Genug, {playername}. Eure Argumente mögen zahlreich sein, doch finde ich keines davon wahrlich überzeugend. Ich bleibe dabei, was ich zuvor gesagt habe.
dlga_convince_persuade:convince_options.2|Ehrlich gesagt, {playername}, ich kann den Wert Eurer Gedankengänge nicht erkennen. Euer Ansinnen macht jetzt noch weniger Sinn als zuvor.
dlga_start:siege_won_seneschal_1|{Fürst/Fürstin}, ich muss Euch zu Eurem Sieg gratulieren. Willkommen in {s1}. Wir, die Bewahrer dieser Burg, stehen Euch zu Diensten.
dlga_siege_won_seneschal_1:siege_won_seneschal_2|Seid Ihr der Seneschall?
dlga_siege_won_seneschal_2:siege_won_seneschal_3|Fürwahr, oh {Fürst/Fürstin}, der bin ich. Schon immer habe ich den Herren von {s1} so gut gedient, wie ich konnte, egal, auf welcher Seite sie standen. Deshalb könnt Ihr auf meine uneingeschränkte Loyalität zählen, solange Ihr {Fürst/Fürstin} dieses Ortes seid. Nun ... wollt Ihr mich als Seneschall behalten? Ich verspreche Euch, dass Ihr es nicht bereuen würdet!
dlga_siege_won_seneschal_3:siege_won_seneschal_4|Nun gut, Ihr mögt Euren Posten bis auf Weiteres behalten.
dlga_siege_won_seneschal_3:siege_won_seneschal_4.1|Ihr mögt bleiben, doch ich werde Euch im Auge behalten.
dlga_siege_won_seneschal_4:siege_won_seneschal_5|Ich danke Euch, oh {Fürst/Fürstin}. Falls Ihr Euch nicht an meiner Dreistigkeit stört, würde ich Euch gerne fragen, was Ihr mit dieser Burg im Sinne habt?
dlga_siege_won_seneschal_5:siege_won_seneschal_6|Ich werde es an einen anderen Fürsten verkaufen.
dlga_siege_won_seneschal_5:siege_won_seneschal_6.1|Ich beabsichtige, es für mich selbst zu beanspruchen.
dlga_siege_won_seneschal_5:siege_won_seneschal_list_options|Darüber habe ich noch nicht viele Gedanken angestellt. Welche Möglichkeiten bieten sich mir?
dlga_siege_won_seneschal_list_options:siege_won_seneschal_list_options_2|Nach unseren Gesetzen und Gebräuchen könnt ihr mehrere Aktionen unternehmen: Ihr könnt eine Garnison hier stationieren, um die Burg vor unmittelbaren Gegenangriffen zu schützen, oder einen reichen Fürsten um eine Audienz bitten, während der Ihr ihm ein Angebot abverlangt. Die Burg ist ein stolzes Sümmchen wert, glaubt mir. Wenn Ihr nicht verkaufen wollt, so müsst Ihr Euch einen Lehns- und Schutzherrn suchen, der Euren Treueschwur akzeptiert. Ohne königliche Amtseinsetzung und eine Armee im Rücken könntet Ihr die Burg nur schwerlich halten. Sowohl Ihr als auch {s1} würde für jeden Abenteurer mit einigen wenigen Soldaten und ein bisschen Ehrgeiz ein lohnendes Ziel abgeben.
dlga_siege_won_seneschal_list_options_2:siege_won_seneschal_list_options_3|Was soll das heißen, Lehns- und Schutzherr? Ich habe diesen Ort eigenhändig errungen, ich brauche niemand anderen!
dlga_siege_won_seneschal_list_options_3:siege_won_seneschal_list_options_4|Natürlich nicht, oh {Fürst/Fürstin}, jedoch wird kein Fürst des Landes Euren Anspruch auf die Burg aberkennen, wenn er nicht vom König bestätigt wird. Sie würden {s1} als Schurkenbastion bezeichnen und sie Euch bei der erstbesten Gelegenheit entreißen. Selbst Ihr könntet nicht gegen eine ganze Armee bestehen.
dlga_siege_won_seneschal_list_options_4:siege_won_seneschal_6|Hmmm. Ich werde darüber nachdenken.
dlga_siege_won_seneschal_6:close_window|Ich bin sehr erfreut, dies zu hören, oh {Fürst/Fürstin}. Ich versuche ledigliche, Euch so gut zu dienen, wie es mir möglich ist. Wenn Ihr zu irgendeinem Zeitpunkt erneut meiner Dienste bedarft, so werdet Ihr mich in der großen Halle finden, wo ich die reibungslose Übergabe der Burg an Eure Truppen organisiere. 
dlga_start:seneschal_intro_1|Guten Tag, {mein Herr/meine Dame}. Ich glaube nicht, dass ich Euch schon einmal hier gesehen habe. Lass mich Euch als Seneschall von {s1} willkommen heißen.
dlga_seneschal_intro_1:seneschal_intro_1a|Es ist mir eine Freude, Euch zu sehen, {s65}.
dlga_seneschal_intro_1a:seneschal_talk|Wie kann ich Euch behilflich sein?
dlga_seneschal_intro_1:seneschal_intro_1b|Was genau führt Euch hierher?
dlga_seneschal_intro_1b:seneschal_talk|Die Pflichten eines Seneschalls sind gar viele, {mein Herr/meine Dame}. Ich treibe beispielsweise die Pachtgebühren die Ländereien meines Fürsten ein, ich verwalte die Lagerräume der Burg, ich handle mit dem örtlichen Bauernvolk, ich kümmere mich um die Bediensteten der Burg, ich verpflege die Garnison ... sämtliches profane Tagewerk dieses Lehens obliegt meiner Verantwortung, im Namen meines Fürsten. Alles außer der direkte Befehl über die Soldaten.
dlga_start:seneschal_talk|Guten Tag, {mein Herr/meine Dame}.
dlga_seneschal_pretalk:seneschal_talk|Noch etwas?
dlga_seneschal_talk:seneschal_ask_something|Ich möchte Euch eine Frage stellen ...
dlga_seneschal_talk:seneschal_ask_about_someone|Ich möchte mehr über eine bestimmte Person wissen ...
dlga_seneschal_ask_about_someone:seneschal_ask_about_someone_2|Vielleicht kann ich Euch behilflich sein. An wen hattet Ihr dabei gedacht?
dlga_seneschal_ask_about_someone_2:seneschal_ask_about_someone_3|{s1}
dlga_seneschal_ask_about_someone_2:seneschal_pretalk|Schon gut.
dlga_seneschal_ask_about_someone_3:seneschal_ask_about_someone_4|{s2}{s1}
