str_no_string|NO STRING!
str_npc12_retirement_speech|Ich habe es in Eurer Kompanie gut gehabt. Ich habe meinen Bauch und meinen Geldbeutel gefüllt und mein Wissen um Wunden und Verletzungen erweitert -- darüber kann ich mich nicht beschweren! Doch jetzt denke ich, dass der Dienst in dieser Kompanie mich zurückhält. Ich habe die Pflicht, meine Erkenntnisse mit anderen Wundärzten zu teilen, und dafür brauche ich Schreiber ... aber die sind rar in Calradia. Ich werde nach Hause zurückkehren.
str_npc13_retirement_speech|Ich fürchte, dass mit zunehmender Größe Eures Namens mein eigener Ruf dagegen immer bleicher erscheint, genau wie das Mondlicht der Sonnenkraft nachgibt. Ich habe beschlossen, es auf eigene Faust zu versuchen. Ich wünsche Euch das Allerbeste!
str_npc14_retirement_speech|Ich möchte Euch informieren, dass ich unsere Beziehung aufzulösen wünsche. Ich möchte nach anderen Arbeitsgelegenheiten suchen.
str_npc15_retirement_speech|Ich danke Euch, dass Ihr mich aufgenommen habt, aber ich bin nicht ganz glücklich darüber, wie die Dinge verlaufen sind. Ich werde mich zu anderen Orten aufmachen -- vielleicht heimkehren, vielleicht einen anderen Auftrag finden; ich habe mich noch nicht ganz entschieden.
str_npc16_retirement_speech|Ich habe gute Zeiten in dieser Kompanie verbracht, und manch ein schönes Dingelchen auf dem Schlachtfeld gefunden, aber jetzt passt es mir nicht mehr so recht. Ich verlasse Euch, um meine Talente jemand anderem anzubieten.
str_npc1_rehire_speech|Herr -- es ist gut, Euch wieder zu sehen. Ich weiß, dass wir in der Vergangenheit Meinungsverschiedenheiten hatten, aber um ehrlich zu sein, das waren mit die besten Zeiten, die ich je erlebt habe. Und, um ehrlich zu sein, hatte ich ein paar Probleme, Arbeit zu finden. Hört, wenn Ihr gewillt wärt, mich wieder aufzunehmen, würde ich wieder bei Eurer Kompanie unterschreiben.
str_npc2_rehire_speech|{Mein Herr/Meine Dame}! Es ist gut, Euch wieder zu sehen. Aber ich gebe zu -- ich habe nach Euch gesucht. Ich habe eine Ladung Waren gekauft, wie ich es Euch gesagt hatte, lud sie auf meinen Wagen und machte mich auf meinen Weg über die Steppe -- aber wie der Teufel es wollte, überfielen die Khergits mich wieder, und ich verlor alles. Ich schätze, es ist wohl mein Schicksal, für mein Glück kämpfen zu müssen. Auch sagten mir die Leute, dass Ihr es zu etwas gebracht habt. Also, sagt, {mein Herr/meine Dame}, wollt Ihr mich wieder haben?
str_npc3_rehire_speech|Nun, hallo, {mein Herr/meine Dame}! Es ist schön, Euch wieder zu sehen. Seit sich unsere Wege trennten, ist es mir nicht so gut ergangen, fürchte ich. Die Familie meiner Mutter, von der ich hoffte, dass sie mir den Beginn einer Handelskarriere ermöglichen würde, war nicht so begeistert, wie ich gehofft hatte. Ich bekam nichts als Predigten von meinen Tanten zu hören, darüber, wie ich mein Heiratsaussichten durch meinen Dienst in einer Landsknechtskompanie ruiniert hätte. Vielleicht bin ich doch eher für den Krieg als den Kommerz geschaffen, vielleicht passt es mir eher, ein Mahl am Lagerfeuer mit rauen Gesellen zu teilen, als Wein mit den Bürgern Velucas zu schlürfen. {Mein Herr/Meine Dame}, ich muss Euch bitten -- werdet Ihr mich wieder aufnehmen?
str_npc4_rehire_speech|Hallo, Hauptmann. Lange ist's her. Euch ist es gut ergangen, höre ich. Ich selber hatte Schwierigkeiten, meinen Lebensunterhalt mit meinen Ländereien zu verdienen -- Heuschrecken, schwere Regenfälle, aufmüpfige Leibeigene und so fort. Ich dachte mir also, ich sollte einmal mehr das Schwert aufnehmen. Ich weiß, dass zwischen uns beiden böses Blut geherrscht hat, aber es wäre mir eine Ehre, wieder in Euren Reihen kämpfen zu dürfen.
str_npc5_rehire_speech|{playername} Bahadur! Euer Ruhm wächst stetig -- er reicht sogar bis in mein Heimatland jenseits der Berge. Dorthin war ich zurückgekehrt, in der Hoffnung, dass die Männer des Khans mich vergessen hätten. Nun, das war nicht der Fall -- noch bevor ich einen Fuß in mein Tal setzen konnte, kam mir eine Nachricht meiner Familie zu Ohren, dass sowohl der Khan als auch die Humyan nach mir suchten. Also kam ich wieder, in der Hoffnung, dass Ihr alle harschen Worte vergessen habt, die ich zu Euch sagte, und um zu sehen, ob ich wieder mit Euch kämpfen dürfte.
str_npc6_rehire_speech|Es ist gut, Euch zu sehen, {mein Herr/meine Dame}. Wohin ich auch gehe, besingen die Menschen Eure Taten. Seit meinem Weggang ist es mir nicht so gut ergangen. Wohin ich auch gehe, fühle ich meine Dämonen zurückkehren. Meine Seele ist in Aufruhr. Aus Gründen, die ich nicht richtig erklären kann, hatte ich in Eurer Kompanie Frieden gefunden, selbst wenn ich Eure Anführerschaft in Frage stellte. Würdet Ihr mir erlauben, wieder unter Euch zu dienen?
str_npc7_rehire_speech|Hauptmann! Es ist gut, Euch zu sehen. Vergebt mir, was ich bei unserem Abschied gesagt haben mag. Ich nahm ein Schiff in Wercheg, das nach Osten segelte, aber es wurde von Piraten überfallen, und erst gegen ein Lösegeld setzte man mich hier an Land. Es mag bessere Orte in der Welt geben als Calradia, aber an denen war ich noch nicht. Also denke ich mir, wenn es mein Schicksal ist, hier zu leben, dann ist Eure Kompanie ein so guter Ort wie jeder andere. Würdet Ihr mich wieder nehmen?
str_npc8_rehire_speech|Seid gegrüßt, {playername}. Ich fragte mich, ob die harschen Worte, die zwischen uns in der Vergangenheit fielen, wohl vergessen werden könnten. Ich hatte mich bei den Nordmannen hier umgeschaut, ob ich wohl genug Männer finden könnte, um mir die Halle meines Gatten zurückzuholen. Doch ich konnte nicht genug Leute anziehen, um ein Langboot zu bemannen, und denen, die ich zusammengeschart hatte, wurde es schnell langweilig und sie wanderten davon -- natürlich nicht, bevor sie alles Gold verzecht hatten, das mir zur Verfügung stand. Also dachte ich an die Schlachten zurück, die wir zusammen schlugen. Das waren gute Zeiten, und profitable obendrein.
str_npc9_rehire_speech|{Mein guter Mann/Meine gute Dame}! So gut, Euch zu sehen! Ich habe die Dienste der Fürsten dieses Landes gesucht, aber wurde aufs Übelste enttäuscht. Die Hälfte von ihnen befiehlt mir, wie ein Banklehrling Schulden von anderen Fürsten einzutreiben, oder wie ein Farmaufseher seine Leibeigenen zu schurigeln. Einer verlangte sogar von mir, einen seiner Gläubiger zu ermorden! Ich habe Euch gesucht, um zu sehen, ob ich mich Euch wieder anschließen kann.
str_npc10_rehire_speech|Hauptmann! Es ist gut, Euch zu sehen. Wie ihr seht, bin ich wohl doch nicht zum Bauern geschaffen. Zu nachgiebig mit den Hilfskräften, vermute ich. Ich ließ sie mich aussaugen bis aufs Blut. Ich glaube, das Kriegshandwerk ist doch, was ich am besten kann. Also, Hauptmann, braucht Ihr noch gute Männer?
str_npc11_rehire_speech|Hauptmann! So gut, Euch zu sehen! Man sagt, Ihr habt Euch satt bereichern können. Ich gebe zu, ich bin ein unruhiger alter Sack. Ich verließ Euch, weil ich mit dem Soldatenleben unzufrieden war, aber dann verbrachte ich einige Zeit in der Stadt und stellte fest, dass es schlimmere Dinge im Leben gibt als einen vollen Bauch, ehrliche Gefährten, und die Freude, den Feind vor einem fliehen zu sehen. Also, würdet Ihr mich wieder einstellen?
str_npc12_rehire_speech|Hauptmann! Wie schön, ein ehrliches Gesicht wie das Eure zu sehen. Diese Welt ist voller Lügen. Ich kehrte heim, um meine Erkenntnisse zu veröffentlichen, heuerte einen Schreiber an, erstellte eine Handvoll Kodizes, und wartete auf die Kommissionen. Doch es stellte sich heraus, dass den Universitäten wahres medizinisches Wissen egal ist - sie bevorzugen aufgewärmtes Zeugs im Stil von Galerian. Und erst die Verlage -- ich sage Euch, Ihr werdet nie jemand Skrupelloseren finden. Sie leihen die Bücher kapitelweise an Studenten zur Abschrift aus, aber die Hälfte davon kommt nicht wieder, und die andere Hälfte besteht aus weingetränkten Seiten, und nun existiert kein vollständiges Exemplar meiner Arbeit mehr. Ich werde es weiter versuchen, aber zuerst brauche ich etwas Geld in der Tasche. Braucht Ihr einen Wundarzt?
str_npc13_rehire_speech|Hallo, o Löwenherz'ger! Ich hatte gehofft, Euch wieder zu sehen. Wohin ich auch gehe, höre ich Geschichten und Lieder über Eure Taten. Ich gebe zu, dass ich unseren Abschied etwas bereute, und auch, Euch Euren Ruf zu neiden. Ich dachte, vielleicht wieder an Eurer Seite zu kämpfen, und damit etwas im Lichte Eures Ruhmes zu baden. Vielleicht können wir wieder für eine Weile zusammen reiten?
str_npc14_rehire_speech|Hauptmann. Es ist gut, Euch zu sehen. Als wir das letzte Mal Abschied nahmen, war ich bereit, zu schwören, Euch nie wieder zu dienen, aber vielleicht habe ich Euch zu harsch beurteilt. In ganz Calradia singt das Volk Euer Lob. Ich habe versucht, in den Armeen anderer Fürsten zu dienen, und glaubt mir, was ich da sah, hat meine Meinung über Eure Anführerschaft komplett revidiert. Wenn Ihr mich wieder in Eurer Kompanie haben wolltet, würde ich wieder für Euch kämpfen.
str_npc15_rehire_speech|Hallo, {playername}. Ich kann nicht sagen, ganz unerfreut zu sein, Euch zu sehen. Ich nahm einen anderen Kontrakt an, bevor ich Euch verließ, und, meiner Treu, als der Zahltag kam, gab der Fürst nichts als Geschwätz und Ausreden und alberne Beschwerden über mein Handwerk aus. Ich kann nicht sagen, immer glücklich in Eurer Kompanie gewesen zu sein, aber wenigstens habe ich nach jedem Gefecht Gold in meinen Geldbeutel stecken können. Stellt Ihr noch Männer ein?
str_npc16_rehire_speech|Hauptmann! Man sagt, es ist Euch gut gegangen, seit wir uns das letzte Mal sahen. Ich werde zugeben, dass ich Euren Namen verfluchte, als wir uns trennten, aber im Nachhinein wart Ihr doch gar nicht so schlecht. All diese Fürsten schicken mich immer gerne auf Botengänge, aber keiner von ihnen will mich in der Hauptkampflinie haben. Offensichtlich verängstige ich die Männer. Ich habe sie murmeln gehört, dass ich eine Hexe sei, oder dass ich die Herzen der Männer fresse, die ich töte, und anderen Unfug. Nicht, dass ich davor zurückschrecke, einen Mann im Schlaf zu erstechen, aber es ist viel befriedigender, wenn er wach ist und sich wehrt. Also dachte ich, Euch wieder zu suchen und zu sehen, ob Ihr mich wieder aufnehmt.
str_npc1_home_intro|Herr -- wusstet Ihr, dass ich in dieser Gegend geboren wurde, in der Hochsteppe? Hier habe ich meinen Pferdeverstand geschärft, denn es ist gutes Pferdeland, wenn auch ein hartes Land für Menschen. Ich vermute, das ist der Grund, warum die Khergits es mögen.
str_npc2_home_intro|Wir nähern uns Sargoth. Dorthin war ich unterwegs, als die Khergits mich erwischten.
str_npc3_home_intro|Riecht Ihr das? Zitronenbäume, Äpfel und Krokusse - der Duft von Veluca. Manch einen glücklichen Sommer habe ich als Mädchen hier verbracht, beim Spiel in den Gärten der Familie meiner Mutter, wenn mein Vater auf Handelsreisen war.
str_npc4_home_intro|Der Wald von Ehlerdah. Bah. Hier wimmelt's von Banditen und anderem Gelichter.
str_npc5_home_intro|Bahadur, wir nähern uns Halmar, der größten Stadt in der unteren Steppe. Die Schwester meine Mutter kam hierhin, um einen Bürger zu heiraten, und ich wollte Dienst beim hiesigen Fürsten suchen. Das war zu der Zeit, als ich Euch traf.
str_npc6_home_intro|An den Ranken und Terrassen auf den Hängen kann ich sehen, dass ich mich meinem Zuhause nähere. Ich will meine Familie nicht sehen, daher werde ich außerhalb der Mauern warten, wenn Ihr in die Stadt geht. Ich bin sicher, Ihr werdet das verstehen.
str_npc7_home_intro|Riecht Ihr das? Salzfisch, faulender Flachs und Flussschlamm. Die Gerüche meiner Kindheit. Ich muss speien.
str_npc8_home_intro|Hmpf. Hört Ihr das? Das müssen die Wellen sein, die sich an der Landzunge brechen. Wir müssen in der Nähe von Gundigs Point sein.
str_npc9_home_intro|Schaut, der Fels von Rivacheg! Die stärkste Festung ganz Calradias. Mein Vater war einer der Kämpfer, die hier die Stellung gegen die Nordmänner hielten, als sie zum ersten Mal versuchten, von der Küste aus ins Landesinnere zu stoßen.
str_npc10_home_intro|Riecht Ihr diese frische Luft, Bruder? Hier war meine Heimat, bevor ich auf der Suche nach Gold das Land verließ. Es ist gut, wieder hier in den Hügeln zu sein. Es ist der Geruch der Freiheit. Dies ist die Wiege der Freiheit Rhodoks, hier unter Burg Grunwalder
str_npc11_home_intro|Ich sehe die Berge. Wir müssen uns meiner Heimat nähern.
str_npc12_home_intro|Wir kommen an der Stätte einer meiner größten medizinische Triumphe vorbei, falls Euch das interessiert.
str_npc13_home_intro|Ah, Burg Ergellon! Ein wunderschöner Ort, direkt beim tiefen See. Solch glückliche Tage verbrachte ich hie im vorletzten Sommer.
str_npc14_home_intro|Seht Ihr die Festung dort oben, auf dem Vorsprung über dem Tal? Ismirala? Dort verbrachte ich vor einigen Jahren einen Winter mit dem Versuch, die Männer des Fürsten auszubilden.
str_npc15_home_intro|Seht Ihr die Burg dort auf dem Hügel? Burg Culmarr nennt man sie. Dort arbeitete ich vor nicht so langer Zeit. Sie ist nicht so prunkvoll wie manche der anderen Burgen dieses Landes, aber es ist die beste Steinmetzarbeit, die man sich vorstellen kann.
str_npc16_home_intro|He, Hauptmann, seht Ihr das? Das sind Hasenspuren im Schnee. Wir müssen uns meinem Geburtsort nähern.
str_npc1_home_description|Nun, es haben schon immer Khergits hier gelebt, selbst damals, als der Kaiser ihnen Gold und Ländereien gab, um die anderen Stämme in Schach zu halten. Man sagt, mein Großvater war ein Khergit-Häuptling, obwohl meine Mutter ihn genau so wenig kannte wie ich meinen Vater. Als meine Mutter ein Mädchen war, begannen die Khergit, in größeren Gruppen über die Berge zu kommen, und nun gibt es einen Khergit-Khan in Tulga.
str_npc2_home_description|Man sagt, dass die Nordmänner ein Haufen blutdürstiger Barbaren sind, aber wenn Ihr mich fragt, sind sie für den Handel talentiert. Sie lassen das Volk an der Küste Flachs anbauen, den sie dann zu Leinen weben. Mann kann es natürlich nicht mit Jelkala-Hemden und Samtwaren vergleichen, aber es trägt sich gut im Sommer, und man kann es für Schiffssegel verwenden. Außerdem war Leinen eine der wenigen Waren, die man in Calradia noch nicht hergestellt hatte.
str_npc3_home_description|In Veluca sind die Winter nass und die Sommer heiß, aber das Volk hier baut große Zisternen zur Bewässerung der Felder. Sie bauen Weintrauben an -- Wein aus Veluca ist berühmt, {mein Herr/meine Dame} -- und wer es sich leisten kann, ummauert seine Gärten, wo Obstbäume im Überfluss wachsen, und wir nachts Musik hören oder Schach spielen, oder einfach nur die Nachtluft genießen.
str_npc4_home_description|Nun, der König von Swadien erklärte dies zu seinen persönlichen Jagdgründen und sagte, er würde jeden töten, der hier auch nur seinen Bogen spannte. Was passiert also? Manche Familien hungern und erliegen der Versuchung des Wilderns, und dann kommt der Sheriff des Königs, hängt ihn und nimmt ihm sein Land ab. Statt zu verhungern, werden seine Söhne zu Banditen. Und jedermann im Tal, der die Notwendigkeit verspürt, vor einer Schuld oder einer nörgelnden Ehefrau fortzulaufen, oder auch rachsüchtige Adlige, sie alle kommen her, schließen sich ihnen an, und leben von wilden Schweinen, Beeren und den Geldbeuteln unvorsichtiger Reisender.
str_npc5_home_description|Die Khergits sind schon immer hergekommen, um zu handeln und rauben, und in den letzten Tagen des Reichs begannen wir, uns niederzulassen. Genau wie die Vaegiren, Swadier, Rhodoks und Nordmänner wurden wir vom Kaiser bezahlt, die anderen Stämme in Schach zu halten. Aber als die Große Horde zur Zeit meines Großvaters unser Heimatland angriff, zogen wir zuhauf in dieses Gebiet. Wir warfen die Vaegiren zurück und übernahmen ihre Festungen.
str_npc6_home_description|Hier im Suno-Tal ähneln unser Dialekt und unsere Gebräuche denen des Calradischen Reichs mehr als sonstwo in Calradia. Wir bauen Oliven und Wein an, die beide von Übersee von den Kaisern in dieses Land gebracht wurden, und befolgen die alten Calradischen Sitten. Wir halten unsere Gelöbnisse und zahlen unsere Schulden.
str_npc7_home_description|Bevor ich mich vermählte, und bevor die Banditen mich entführten, lebte ich hier. Ich wurde in einer Lehmhütte geboren und verbrachte meine Kindheit in den Feldern. Unsere Vermieter waren Nordmänner, aber wir sahen sie nie, nur immer ihre verfluchten Schergen und Aufseher. Mein Vater, dieser Feigling, katzbuckelte vor ihnen.
str_npc8_home_description|Ihr kennt die Geschichte nicht? Als Gundig Hairy-Breeks aus dem Nordland nach Calradia kam, pflanzte er sein Banner auf der Landzunge auf und sagte, es bliebe dort, bis er sich sein 'Erbe' wiedergeholt habe. Sein 'Erbe' nannte er es. Gundig glaubte den Leuten, die ihm erzählten, dass der Kaiser Calradia den Nordmännern gegeben habe, während er uns tatsächlich bloß einen kleinen Streifen Land entlang der Küste gegeben hatte, damit wir seine Galeeren bemannen konnten.
str_npc9_home_description|Die Nordmänner segelten in ihren Langbooten den Fluss hinauf. Die Bewohner der Küste hätten ihnen Einhalt gebieten können, aber sie waren damals schon dieselben Feiglinge wie heute. Also zahlten sie ihnen einen jährlichen Tribut, das so genannte Nordgeld, um in Frieden gelassen zu werden. Aber der Vaegir-König wollte nicht zahlen. Mein Vater beschloss, über die Berge zu kommen, um an der Seite der Vaegir zu kämpfen. Drei Sommer hintereinander versuchten sie, den Fels zu erstürmen, und jedes Mal hielten die Vaegir-Fürsten sie zurück.
str_npc10_home_description|Zu Zeiten meines Vaters kamen die Swadier und dachten, sie könnten uns dazu bringen, Kotau zu knicksen und sie unsere Herren zu nennen. Aber Grunwalder, ein alter Veteran der Kriege in den Hügeln, zeigte uns, wie man eine Schlachtreihe mit Speer und Armbrust aufstellte, die einen swadischen Angriff abhalten konnte. Er fiel im Kampf, aber das Volk benannte nach ihm die Burg, die genau an der Stelle gebaut wurde, wo er fiel, so dass wir uns an ihn erinnern würden, und immer fest den Attacken des Reitervolkes entgegenstünden.
str_npc11_home_description|Ich bin aus Praven. Ihr kennt den Spruch, {mein Herr/meine Dame} -- 'In Uxkhal angebaute Gerste wird in Praven zu Bier, und es geht uns allen besser deswegen.' Ich bin nicht sicher, was das bedeutet, {mein Herr/meine Dame}, aber das mit der Gerste stimmt. Und Weizen, und Hafer. Wir bauen mehr Getreide hier im Uxkhal-Tal an als der Rest von Calradia zusammen, und unser Bier ist auch das beste. Ihr könnt es in der Krume hier sehen -- sie ist fett und schwarz und riecht nach guten Ernten und vollen Mägen.
str_npc12_home_description|Der Fürst dort auf Burg Almerra hatte Wassersucht und forderte einen Doktor aus Uxkhal an. Wie jeder typische universitätsausgebildete Doktor suchte er direkt bei Galerian Hilfe. Galerian empfiehlt Sonnenmetall für Wassersucht. Nun, die meisten von Galerians Schriften waren nutzlos in den Tagen der Calradischen Kaiser, als sie zuerst niedergeschrieben wurden, und sie sind heute zweifelsohne immer noch genau so nutzlos, doch manchmal landet er einen Glückstreffer: Sonnenmetall heilt gewisse Fälle von Wassersucht in kleinen Dosen. In großen Dosen ist Sonnenmetall aber ein Gift, ein Faktum, das die Galerian-Verehrer nie verstanden.
str_npc13_home_description|Ich war mit einer kleinen swadischen Truppe hergekommen, aber die Rhodoks überfielen sie im Wald, und ihre Reiter schlugen inmitten der Bäume zu. Ich floh und fand Schutz beim See, in den Armen der bezauberndsten Kuhhirtin, die man sich vorstellen kann. Sie leitete mich zu einer Höhle nahe der Hochweiden, brachte mir Käse und Beeren, und erzählte mir Geschichten aus den Hügeln. Man behauptet, der See sei ein Tor zur Unterwelt, und man könne manchmal an den Rändern die giftigen Gase an die Oberfläche blubbern sehen. Was für Landeier sie doch sind!
str_npc14_home_description|Ich sage 'Versuch', weil meiner Meinung nach Vaegiren sich nicht gut der Disziplin unterwerfen. Die besten Bogenschützen unter der Sonne, und gute Reiter obendrein, aber es fehlt ihnen der Mumm zum Kampf in der Schlachtreihe. Ihre Fertigkeiten dienen ihnen wohl gegen Khergits und Nordmänner, insbesondere wenn sie sich hinter Mauern verstecken können, aber ich sah swadische Ritter durch Vaegiren gehen wie ein Messer durch Butter. Nun, eine Speer-Mauer im Rhodok-Stil dient dazu, eine swadische Attacke im Keim zu ersticken, und ist meist auch erfolgreich.
str_npc15_home_description|Wie die meisten Burgen, die hier in der Gegend noch stehen, stammen ihre Fundamente noch aus der Kaiserzeit Calradias. Ihr könnt sie vor lauter Renovation nicht mehr sehen, aber die Felsbrocken sind so groß wie ein Haus. Das müssen rechte Zauberer gewesen sein in jenen Tagen, denn ich wüsste nicht, wie sie diese Dinge sonst bewegen konnten. Und eine schöne Lage obendrein -- Culmarr sitzt direkt vor dem Pass, der aus Calradia führt, was dem Fürst erlaubt, während der schneefreien drei Monate des Jahres ein nettes Sümmchen an Wegzoll zu kassieren.
str_npc16_home_description|Der Schnee in diesen Tälern schmilzt erst spät im Jahr, und das Land ist schwer zu pflügen. Man kann etwas Gerste anbauen, aber nicht viel anderes. Aber die Wälder hier sind reich: Hirsch, Hase und Luchs, Fleisch und Pelze, und die Berge sind voll Eisen, und die Händler brachten genug Salzfisch von der Küste den Fluss hinauf, um das Volk durch den Winter zu bringen.
str_npc1_home_description_2|Sie machen es uns Alten Calradiern nicht schwer, und verlangen auch nicht viele Steuern -- nicht, dass wir sie zahlen könnten. Das Land ist für die meisten Feldfrüchte nicht gut genug. Ehrlich gesagt ist es nur gut zur Pferdezucht, und das auch nur ein halbes Jahr lang, im Winter nach den Regenfällen. Im Sommer treiben sie ihre Herden zurück in die Berge. Karawanen kommen über die Hügel und bringen Gewürze nach Tulga, aber wir sehen unten in den Dörfern nicht viel von diesem Geld.
str_npc2_home_description_2|Ich hatte meinen Wagen geladen mit Safran, Zimt, Nelken, Pfeffer und anderen Gewürze, und einer Truhe voller Dinare. Ich schätzte, ich könnte Weißwaren, Pelze, Samt, Eisen und Wolle und auch noch die zusätzlichen Pferde kaufen, um sie zurückzubringen, und immer noch einen Profit machen. Ich hatte nur nicht mit den Khergits gerechnet, die es offensichtlich nicht gerne sehen, wenn andere in ihr Monopol eindringen.
str_npc3_home_description_2|Die Dichter nennen Veluca ein Paradies, und ich denke, da übertreiben sie ausnahmsweise einmal nicht.
str_npc4_home_description_2|Woher ich das weiß? Nun ... sie schnappten mich und verlangten Lösegeld für mich, aber ich konnte fliehen. Das ist eigentlich alles.
str_npc5_home_description_2|Natürlich, Ihr wisst ja, wie die Dinge so laufen. Die Generation meines Vaters waren hartgesottene Krieger aus den kalten Ländereien jenseits der Berge, aber die heutige Generation hat Häuser in der Stadt und ausgedehnte Ländereien und verbringt genauso viel Zeit mit dem Handel wie mit dem Bogenschießen. Die nächste Generation wird durch Velucas Wein verweichlichen und ihr Land an den nächsten Haufen ungebildeter Hügelräuber verlieren, die über die Berge getrampelt kommen - ihr werdet's sehen. Es ist, wie es immer war, und wie es immer sein wird.
str_npc6_home_description_2|Wir Männer von Suno vergessen auch nie eine Beleidigung und rächen jede Untat, die man uns antut. Altmodisches calradisches Ehrgefühl, hat mir meine momentanen Probleme eingebracht, wenn ich das so sagen darf. Aber trotzdem bin ich stolz, aus dieser Gegend zu sein. Unser Fürst ist ein Vasall des swadischen Königs in Praven, aber für uns ist er bloß ein Barbarenhäuptling, und wir sind die wahren Erben des Reichs.
str_npc7_home_description_2|Wir durften im Fluss fischen, im Schilf Schweine züchten, und in unseren privaten Parzellen anbauen, was dort wachsen wollte, aber in den offenen Feldern durften wir nur Flachs ziehen, der nach Sargoth gebracht und zu Leinen gewebt wurde. Wir waren also immer hungrig und schwach und hatten nie den Mut zur Rebellion.
str_npc8_home_description_2|Die Geschichten gaben Gundig wenigstens einen Grund, eine Kriegstruppe auszuheben -- nicht, dass wir Nordmänner je einen Grund brauchen. Er segelte übers Meer, brachte die Nordmänner Calradias unter sein Banner, und marschierte zum Fels von Rivacheg. Die Vaegiren töteten ihn und warfen sein Banner in die Brandung. Aber die Nordmänner kommen immer wieder, und eines Tages wird ganz Calradia uns gehören.
str_npc9_home_description_2|Genau wie die Nordmänner sich auf die Hilfe ihrer Verwandten in Übersee verlassen können, so verließ sich der Vaegir-König auf seine Verwandten von jenseits der Berge. Hätte mein Vater mich nicht enterbt, so hätte auch ich dem Fürst von Reyvadin einen Lehenseid geleistet. Aber mangels Erbschaft hatte ich auch keine Verpflichtungen mehr, und es ist zum Schaden des Vaegir-Königs.
str_npc10_home_description_2|Wir bauen hier Maulbeerbäume für Seide an, und auch Kermeseiche für Färbemittel. Wir bringen sie nach Jelkala, wo man sie zu feinsten Samt webt -- nicht, das ich je genug Dinare in der Tasche hätte, um Samt zu kaufen. Aber die Handwerker Jelkalas machen auch gute Armbrüste, und dafür werde ich ihnen ihre Luxusartikel nicht neiden.
str_npc11_home_description_2|Der swadische König ist der Ansicht, dass Praven damals im Reich die größte Stadt in Calradia war, und er deshalb heute das gesamte Land regieren sollte. Nun, ich halte nicht viel von Politik, {mein Herr/meine Dame} -- ich habe Proviant an jede Armee verkauft, die je in Calradia marschiert ist, und ich sage Euch, dass ich keinem von ihnen auch nur einen einzigen Biskuit gäbe, hielte ich nicht zuerst die kalten, harten Dinare in meiner Hand. Warum diese arroganten Könige und Adligen ihre Rechnungen nicht zahlen, wird mir nie einleuchten. Doch ich gerate hier etwas ins Schwatzen, was?
str_npc12_home_description_2|Der Unterschied zwischen Gift und Heilung ist die Dosis. Das könnt Ihr jedem sagen, den Ihr trefft, und ihnen auch sagen, dass Ihr es zuerst von Jeremus dem Großen gehört habt. Die Leute denken, dass alle Weisheit, die man braucht, in Alt-Calradisch geschrieben ist, aber ich sage, dass man doppelt soviel von den Hebammen in den Dörfern und durch sorgfältige Beobachtung der Natur lernen kann wie vom gesamten imperialen Korpus. Und deswegen warfen sie mich aus der Universität, obwohl es im Nachhinein ein Segen war. Jedenfalls half ich dem Fürsten wieder auf die Beine, und er gab mir einen Sack Gold sowie die Leiche eines gerade gehenkten Verbrechers zum Sezieren dafür. Ha! Was ich damals alles anstellen musste, um anatomische Präparate zu bekommen.
str_npc13_home_description_2|Irgendwann musste ich weg, und manchmal frage ich mich, ob sie vielleicht einen kleinen Kuhhirten auf dem Rücken trägt, wenn sie da so des Morgens die Kühe auf die Weide treibt. Ich bin versucht, sie zu finden -- aber nein, nein, man sollte nie zurückschauen.
str_npc14_home_description_2|Machte je ein Mensch sich auf, dieses unsere kleine Land zu vereinigen, unterschriebe ich sofort, ihm kostenlos zu dienen. Ich würde eine Armee zusammenstellen: Rhodok-Speere mit Nord-Fußsoldaten an den Flanken und Vaegir-Bogenschützen vorne; dann schickte ich ein paar Khergit-Späher aus, den Feind zu finden, und dann einige swadische Lanzenreiter, um sie auszuradieren. Ich würde diese Armee über die Berge bringen und die ganze Welt vor Calradia knien lassen ... Das war natürlich, was die Kaiser im Sinn hatten, aber schlussendlich nahmen ihnen die Stämme ihr Reich ab.
str_npc15_home_description_2|Und hier ist der ulkige Teil -- als die Rhodok-Ländereien zuerst gegen die Swadier rebellierten, sagten sie alle, sie würden fortan ohne die Herrschaft adliger Fürsten leben. Ihr könnt Euch ausmalen, wie lange das anhielt. Ein Rhodok-Häuptling setzte sich in Culmarr als 'Graf' ein, und die guten Bürger von Jelkala und Veluca müssen ihm die Stiefel lecken, wenn sie ihren Wein und Samt außerhalb Calradias verkaufen wollen. Und wenn Ihr die Grafen unter Kontrolle halten wollt, und die Bauern die Städte mit Nahrung versorgen sollen anstatt ihre Produkte an den höchsten Bieter zu verkaufen, nun, dann braucht Ihr auch einen König, nicht wahr? Die Gebiete der Rhodok sind da nicht anders, auch wenn sie albernes Geschwätz über 'alte Vorrechte' und 'Freiheit' von sich geben.
str_npc16_home_description_2|Trotzdem war es ein mageres Leben, und es gab immer zu viele Mäuler zu füttern. Der Vaegir-König und der Khergit-Khan machen uns das Leben nicht einfacher; sie quetschen Steuern aus den Dörfern unter ihrer Kontrolle, und die anderen Dörfer überfallen sie. Natürlich kann ich nicht behaupten, dass ich es anders anginge, hätte ich meine eigene Burg und Armee. Die Mächtigen tun, was sie können, und die Niederen tun, was sie müssen.
str_npc1_home_recap|Ich bin aus der Hochsteppe, nahe {s21}.
