998
qstr_Next_Page Next_Page
qstr_{reg18?my_Lady:my_go {reg18?my_Lady:my_good_Sir}
qstr_{reg18?My_Lady:My_go {reg18?My_Lady:My_good_Sir}
qstr_{reg18?ma_am:sir} {reg18?ma'am:sir}
qstr_{reg18?Ma_am:Sir} {reg18?Ma'am:Sir}
qstr_{reg18?ma_am:Sir} {reg18?ma'am:Sir}
qstr_{reg18?my_Lady:good_ {reg18?my_Lady:good_Sir}
qstr_Don_t_play_dumb_with Don't_play_dumb_with_me._My_trigger_finger's_getting_itchy.
qstr_We_can_do_this_the_e We_can_do_this_the_easy_way_or_the_hard_way._I_don't_mind_searching_your_corpse.
qstr_These_bullets_only_c These_bullets_only_cost_me_a_couple_of_coppers,_so_killing_you_won't_set_me_back_none.
qstr_Have_it_your_way._*c Have_it_your_way._*click*
qstr_You_ve_already_robbe You've_already_robbed_me!_Whaddayah_want,_a_medal?
qstr_What_d_you_come_back What'd_you_come_back_for?_My_boots?
qstr_You_already_got_my_m You_already_got_my_money._You_best_quit_while_you're_ahead.
qstr_Please_I_ve_given_yo Please,_I've_given_you_the_money,_what_else_do_you_want?
qstr_Ain_t_no_more_money. Ain't_no_more_money._Don't_make_me_cut_you.
qstr_Take_your_blood_mone Take_your_blood_money_and_go.
qstr_You_ve_already_robbed You've_already_robbed_me.
qstr_Don_t_hurt_me_{reg18 Don't_hurt_me,_{reg18?ma'am:sir}!_I_got_a_wife_and_kids!
qstr_No_need_to_do_anythi No_need_to_do_anything_hasty,_can't_we_talk_about_this_like_gentlemen?
qstr_Don_t_shoot!_Don_t_s Don't_shoot!_Don't_shoot!
qstr_Please_don_t_kill_me Please_don't_kill_me!_I_got_too_much_to_live_for!
qstr_Easy_there_pardner._ Easy_there,_pardner._Nobody_here's_looking_for_trouble.
qstr_Whoa_there_we_re_all Whoa_there,_we're_all_pals_here,_right?
qstr_Don_t_let_me_get_in_ Don't_let_me_get_in_your_way,_buster._I_don't_wanna_get_mixed_up_in_this.
qstr_Hey_ease_up_buckaroo Hey,_ease_up,_buckaroo._If_I_done_told_my_wife_I_got_shot,_she'd_kill_me.
qstr_Nice_shooter. Nice_shooter.
qstr_You_best_not_point_t You_best_not_point_that_thing_at_me_unless_you_intend_to_use_it.
qstr_Am_I_supposed_to_be_ Am_I_supposed_to_be_impressed?
qstr_You_got_something_to You_got_something_to_prove,_son?
qstr_Is_that_any_way_to_t Is_that_any_way_to_treat_a_lady?_Whatever_happened_to_manners?
qstr_Eek!_Don_t_hurt_me! Eek!_Don't_hurt_me!
qstr_I_got_a_baby_at_home I_got_a_baby_at_home!_His_daddy's_already_passed,_you_don't_want_to_make_her_an_orphan,_do_you?
qstr_Lordy!_I_m_innocent! Lordy!_I'm_innocent!
qstr_That_a_gun?_You_{reg That_a_gun?_You_{reg18?girls:boys}_and_your_toys.
qstr_No_need_to_get_rough No_need_to_get_rough,_handsome.
qstr_You_think_you_re_the You_think_you're_the_first_{reg18?woman:man}_who's_waved_a_gun_at_me?
qstr_Watch_it_buddy_I_got Watch_it,_buddy,_I_got_more_than_teats_in_this_birdcage.
qstr_I_am_a_citizen._I_ha I_am_a_citizen._I_have_my_papers.
qstr_You_know_I_ve_had_it You_know,_I've_had_it_just_about_up_to_here_with_crazy_white_{reg18?women:men}.
qstr__says_nothing_ (says_nothing)
qstr_I_m_just_passing_thr I'm_just_passing_through._Please,_leave_me_alone.
qstr_OK_OK_let_me_just_ch OK,_OK,_let_me_just_check_my_pocket...
qstr_Keep_your_hat_on_I_v Keep_your_hat_on,_I've_got_the_money_right_here...
qstr_Whoa!_Take_the_money Whoa!_Take_the_money,_I_don't_want_to_be_pushing_up_daisies.
qstr_I_have_to_say_you_an I_have_to_say,_you_and_that_gun_of_yours_make_a_really_good_point.
qstr_Whoa_there_hold_your Whoa_there,_hold_your_horses,_okay,_I'm_getting_it.
qstr_Don_t_get_your_dande Don't_get_your_dander_up,_I'll_give_you_what_I've_got.
qstr_Won_t_buy_you_happin Won't_buy_you_happiness,_feller.
qstr_Why_you_gotta_pick_o Why_you_gotta_pick_on_the_working_man?
qstr_You_ll_regret_this_y You'll_regret_this,_you_crazy_{reg18?bitch:sonofabitch}.
qstr_You_don_t_know_who_y You_don't_know_who_you're_messin'_with,_{reg18?lassie:feller}.
qstr_Fine_have_it_your_wa Fine,_have_it_your_way,_today's_too_damn_hot_for_a_duel_anyhow.
qstr_Dammit_maybe_I_just_ Dammit,_maybe_I_just_ain't_cut_out_for_this_shit.
qstr_I_didn_t_want_it_to_ I_didn't_want_it_to_come_down_to_this...
qstr_Lord_protect_me! Lord_protect_me!
qstr_Here_it_is!_Everythi Here_it_is!_Everything!_*sob*
qstr_Fine_just_take_it!_B Fine,_just_take_it!_But_let_me_go_unharmed,_please!
qstr_You_re_my_toughest_c You're_my_toughest_customer_all_week.
qstr_{reg18?Women:Men}_li {reg18?Women:Men}_like_you_are_always_compensating_for_something.
qstr_Can_t_cut_a_working_ Can't_cut_a_working_girl_a_break,_can_you?
qstr_You_know_you_want_to You_know,_you_want_to_rob_me,_you_could_at_least_have_the_courtesy_to_kiss_me_first.
qstr_Disgraceful. Disgraceful.
qstr_Take_it._Your_people Take_it._Your_people_have_taken_everything_else_from_me.
qstr_The_Great_Spirit_wil The_Great_Spirit_will_punish_you_in_the_end.
qstr_Sorry_boss_I_m_flat_ Sorry_boss,_I'm_flat_broke.
qstr_I_don_t_carry_cash_a I_don't_carry_cash_around!_It's_all_stowed_away_in_the_bank!
qstr_Sorry_{reg18?ma_am:s Sorry,_{reg18?ma'am:sir},_I'm_afraid_I_left_all_my_chink_at_the_card_table.
qstr_Whoa_easy_there!_I_m Whoa,_easy_there!_I'm_a_little_hard_up_right_now,_can't_you_cut_a_man_a_break?
qstr_I_ain_t_got_nothin__ I_ain't_got_nothin'_on_me.
qstr_Afraid_I_m_just_a_po Afraid_I'm_just_a_poor_cowherd._I_ain't_got_no_cash.
qstr_Too_bad_for_you_I_in Too_bad_for_you_I_invest_all_my_wealth_in_whisky,_and_it's_all_drank_up.
qstr_Money?_Do_I_look_lik Money?_Do_I_look_like_I_got_money_to_you?
qstr_Go_boil_your_shirt. Go_boil_your_shirt.
qstr_You_gonna_keep_walki You_gonna_keep_walkin',_or_am_I_gonna_have_to_introduce_you_to_black-eyed_Susan?
qstr_Heh._Tell_me_another Heh._Tell_me_another_one.
qstr_I_ve_got_a_counter_p I've_got_a_counter-proposal:_you_shut_yer_big_damn_mouth,_and_I_won't_ventilate_your_chest_cavity.
qstr_I_can_t_afford_that! I_can't_afford_that!_I_have_a_family_to_feed!.
qstr_Please_have_a_heart_ Please,_have_a_heart,_{reg18?ma'am:sir}._I'm_a_poor_widow.
qstr_I_can_t_give_you_any I_can't_give_you_any_money._My_husband_would_beat_me.
qstr_You_sure_you_can_t_j You_sure_you_can't_just_let_me_go?_I_won't_tell_anyone,_I_promise!
qstr_You_wanna_rephrase_t You_wanna_rephrase_that_more_politely,_sugar?
qstr_You_want_some_tail_{ You_want_some_tail,_{reg18?cowgirl:cowboy},_you_pay_cash_like_every_other_john.
qstr_You_call_that_a_gun? You_call_that_a_gun?_I_seen_a_Chinaman_pack_more_in_his_trousers.
qstr_Don_t_you_take_one_s Don't_you_take_one_step_closer._This_kitten's_got_claws.
qstr_I_am_just_a_poor_far I_am_just_a_poor_farm_worker._I_have_no_money.
qstr_I_just_spent_the_las I_just_spent_the_last_of_it_on_firewater.
qstr_I_warn_you_do_not_pu I_warn_you,_do_not_push_me_further.
qstr_How_about_I_pay_you_ How_about_I_pay_you_in_lead?
qstr_Look_behind_you!_It_ Look_behind_you!_It's_Secretary_of_State_William_H._Seward!
qstr_Fine_don_t_get_your_ Fine,_don't_get_your_dander_up,_I'll_give_you_what_I've_got.
qstr_You_want_it_you_can_ You_want_it,_you_can_pry_it_from_my_cold,_dead_hands.
qstr_Hope_you_shoot_faste Hope_you_shoot_faster_than_you_talk!
qstr_You_don_t_know_who_yo You_don't_know_who_you're_messin'_with,_feller.
qstr_You_ve_left_me_no_ch You've_left_me_no_choice,_you_bloody_scoundrel!
qstr_This_ll_teach_you_so This'll_teach_you_some_manners!
qstr_Too_close! Too_close!
qstr_Would_you_really_sho Would_you_really_shoot_a_girl,_{reg18?sweety:cowboy}?
qstr_This_time_you_have_p This_time_you_have_pushed_me_too_far.
qstr_Not_this_time_washic Not_this_time,_washichu.
qstr_Go_to_the_graveyard_ Go_to_the_graveyard_for_the_duel.
qstr_Your_spotting_skill_ Your_spotting_skill_has_improved.
qstr_Your_trail_blazing_s Your_trail_blazing_skill_has_improved.
qstr_Your_tracking_skill_ Your_tracking_skill_has_improved.
qstr_Buckskin_Bill_needs_ Buckskin_Bill_needs_deer_hides_to_trade_to_passing_indians.__For_every_five_deer_hides_you_bring_him,_you_will_recieve_a_pile_of_firewood.__Probably_not_the_smartest_deal_you've_ever_made.__
qstr_Buckskin_Bill_needs_w Buckskin_Bill_needs_whiskey_to_keep_working_on_his_cabin.__For_every_five_bottles_of_whiskey_you_bring_him,_you_will_recieve_a_for_a_pile_of_firewood.__Looking_back_on_this,_you_think_this_deal_may_have_been_a_mistake.
qstr_Quest_successfully_c Quest_successfully_completed.
qstr_Mr._Barrett_in_Cotto Mr._Barrett_in_Cottonwood_owes_the_undertaker_money._Talk_to_him_and_solve_this_issue.
qstr_You_offered_Mr._Barr You_offered_Mr._Barrett_to_speak_to_the_sheriff_about_Billy's_corpse.
qstr_Tell_Mr._Barrett_tha Tell_Mr._Barrett_that_he_can_pick_up_his_son.
qstr_Find_and_kill_a_Cott Find_and_kill_a_Cottonwood_outlaw.
qstr_Talk_to_Alice_Saunde Talk_to_Alice_Saunders'_husband._She_thinks_he_is_in_danger.
qstr_Speak_to_Alice_Saund Speak_to_Alice_Saunders_and_the_Sheriff.
qstr_Speak_to_the_Sheriff Speak_to_the_Sheriff.
qstr_Talk_to_Deputy_Saund Talk_to_Deputy_Saunders._Mr._Jansen_hopes_he'll_help_him_fighting_the_outlaw_Remington_Robert.
qstr_You_ve_been_on_the_w You've_been_on_the_wrong_side_of_the_law_for_long_enough.
qstr_It_s_time_for_your_c It's_time_for_your_crime_spree_to_end._Right_here,_right_now.
qstr_You_re_coming_with_u You're_coming_with_us_to_face_the_judge,_and_then_you're_gonna_hang.
qstr_Hey_there_{reg18?mis Hey_there_{reg18?miss:mister}._Seen_any_rich_lookin'_stagecoaches_lately?
qstr_Aw_hell!_Relax!_We_a Aw,_hell!_Relax!_We_ain't_gonna_rob_ya._Unless_you_want_us_to,_that_is!
qstr_This_might_be_as_goo This_might_be_as_good_a_time_as_any_to_take_a_rest,_lest_we_all_turn_into_buzzard_bait._Wanna_swap_some_stories?
qstr_Dangerous_parts_roun Dangerous_parts_round_here,_friend._You_be_sure_to_watch_yourself.
qstr_Howdy_friend._Shoot_ Howdy_friend._Shoot_anyone_interesting_lately?
qstr_We_ve_been_out_here_ We've_been_out_here_for_ages!_It's_about_time_we_get_ourselves_to_town_for_some_drinkin'!
qstr_Howdy_pard._Our_raid Howdy_pard._Our_raids_ain't_been_too_bad_lately._How's_buisness?
qstr_Well_what_is_it_you_ Well,_what_is_it_you_need,_{playername}?
qstr_Watch_yourself_round Watch_yourself_round_here._Them_Indians_are_just_everywhere._Make_sure_ya'll_keep_yer_fires_lit_at_night.
qstr_What_are_you_still_d What_are_you_still_doin'_here?
qstr_Get_lost_dammit._We_ Get_lost_dammit._We_got_nothin'_to_say_to_you.
qstr_Don_t_test_our_patie Don't_test_our_patience._We_got_no_time_for_the_likes_of_you.
qstr_Hey_there_{reg18?miss Hey_there_{reg18?miss:mister},_Now_I'ma_gut_you_like_a_lil'_pig.
qstr_I_jus__loaded_up_ma_ I_jus'_loaded_up_ma_gun,_on_account'a_I'ma_gon'_shoot_you_right_clear_'nless_you_gimme_alla_y'all_money.
qstr_How__bout_y_all_gimm How_'bout_y'all_gimme_all_y'all_got_and_we_don't_gonna_have_no_trouble,_hear?_Else_we_gonna_shot_you_up_real_bad.
qstr_You_look_pretty_rich You_look_pretty_rich._Looks_like_you've_got_more_money_than_me._That's_not_right._We_all_have_guns._See_where_I'm_going?
qstr_This_is_a_real_dange This_is_a_real_dangerous_part_here_you've_just_wandered_into._Now_we_wouldn't_want_anyone_to_get_hurt,_would_we?_Hows_about_you_just_gimme_some_o'_your_nice_shiny_coins_and_nobody'll_hurt_nobody,_hear?
qstr_I_m_gettin__tired_of I'm_gettin'_tired_of_lettin'_assholes_like_you_slip_through_my_fingers._Gimme_some_money_and_we_won't_have_any_trouble_again._Got_it?
qstr_There_s_a_toll_for_p There's_a_toll_for_passin'_through_here,_payable_to_us,_so_if_you_don't_mind_we'll_just_be_collectin'_our_due_from_you.
qstr_Hey_there_{reg18?miss: Hey_there_{reg18?miss:mister}._Know_anywhere_we_can_scare_up_some_grub?
qstr_Lucky_you_ain_t_on_o Lucky_you_ain't_on_our_list_of_people_to_rob!
qstr_Bein__on_the_run_fro Bein'_on_the_run_from_the_law_sure_ain't_easy._Sure_is_one_hell_of_a_fix_we_got_ourselves_into.
qstr_It_s_yer_money_or_ye It's_yer_money_or_yer_life,_{reg18?miss:mister}._No_sudden_moves_or_me_and_ma_men'll_kill_ya.
qstr_Lucky_fer_you_ya_cau Lucky_fer_you,_ya_caught_me_in_a_good_mood._Hand_over_alls'a_yer_cash_and_I_migh'_jus'_let_you_live.
qstr_Hey_looks_like_ya_go Hey,_looks_like_ya_got_nowhere_to_run._Hand_over_everything_ya_have_or_there'll_be_troubles.
qstr_Hey_there_{reg18?miss:m Hey_there_{reg18?miss:mister}._Got_any_tequila?
qstr_Amigo_it_is_good_to_ Amigo,_it_is_good_to_see_you._The_men_feel_safer_when_you_are_around.
qstr_Fortune_has_not_been Fortune_has_not_been_kind_to_us,_but_we_are_glad_that_you_have_been.
qstr_It_s_yer_dinero_or_y It's_yer_dinero_or_yer_life,_{reg18?senorita:senor}._Your_choice.
qstr_You_are_lucky_that_I You_are_lucky_that_I_just_had_a_good_siesta._Hand_over_your_money_and_I_migh'_jus'_let_you_live.
qstr_Yo_quierro_tu_dinero Yo_quierro_tu_dinero!
qstr_These_republican_reb These_republican_rebels_be_damned!__Hail_Maximiliano!
qstr_The_glory_of_Mexico_ The_glory_of_Mexico_will_be_restored_under_our_Maximiliano,_not_under_Benito_Juarez!
qstr_The_Mexican_republic The_Mexican_republican_army_has_been_giving_us_trouble_up_here_in_the_north._We_need_to_get_back_to_our_power_base_in_Mexico_city.
qstr_What_s_this?!_We_tho What's_this?!_We_thought_you_were_an_enemy!_Our_mistake.
qstr_Ah_I_see_that_you_ar Ah,_I_see_that_you_are_not_a_threat_to_the_empire._Carry_on.
qstr_We_thought_you_were_ We_thought_you_were_a_damned_republican_soldier!_Leave_quickly,_and_don't_confuse_us_again!
qstr_You_don_t_fight_for_ You_don't_fight_for_Emperor_Maximiliano!_Pay_us_or_die!
qstr_By_order_of_Emperor_ By_order_of_Emperor_Maximiliano,_you_are_hereby_ordered_to_pay_the_imperial_war_tax!
qstr_You_are_trespassing_ You_are_trespassing_on_lands_claimed_by_the_Mexican_Empire._The_punishment_is_death_by_firing_squad._Of_course,_this_can_be_avoided_by_making_a_donation_to_the_imperial_treasury.
qstr_We_ain_t_sure_how_to We_ain't_sure_how_to_fight_the_war_now._Maybe_we_should_break_President_Davis_outta_that_prison_back_in_Virginia.
qstr_The_only_thing_worse The_only_thing_worse_than_a_yankee_is_a_galvanized_yankee!_We'll_kill_those_traitors_right_where_they_stand!
qstr_It_makes_me_sick_wha It_makes_me_sick_what_these_yankee_boys_are_doing_to_our_country._We_might_not_be_able_to_win,_but_we_won't_stop_fighting_it!
qstr_By_Jiminy!_Nice_seei By_Jiminy!_Nice_seein'_a_fine_southerner_such_as_yourself_round_these_god_forsaken_parts!
qstr_Well_look_at_this!_A Well_look_at_this!_A_fellow_confederate_renegade!
qstr_My_mistake_friend._F My_mistake,_friend._From_a_distance_I_thought_you_might_have_been_a_yankee._Criminy!
qstr_Welcome_to_our_confe Welcome_to_our_confederacy_fund_raiser._You_are_required_to_make_a_rather_sizeable_donation.
qstr_We_ve_got_more_ammun We've_got_more_ammunition_than_money,_and_we_intend_to_use_it_if'n_you_don't_pay_us_to_go_away!
qstr_We_need_money_to_fig We_need_money_to_fight_the_yankees_and_we_have_guns._So_you_will_donate_to_our_cause_and_then_you_can_be_on_your_way.
qstr_The_white_man_takes_ The_white_man_takes_our_lands_and_pride._He_makes_us_live_like_animals_on_a_farm._We_will_fight_for_the_way_of_our_people.
qstr_The_white_man_promis The_white_man_promises_us_protection_and_peace._Our_brothers_trade_their_lands_for_paper_signed_by_the_white_man._These_treaties_are_nothing_but_lies_and_tricks!
qstr_We_have_tried_to_mak We_have_tried_to_make_peace_with_the_white_man,_but_have_found_only_suffering._Now_we_make_war!
qstr_The_great_spirit_wat The_great_spirit_watches_us_now._Many_whites_will_be_killed_this_day!
qstr_I_did_not_think_you_ I_did_not_think_you_to_be_a_fellow_warrior,_but_I_see_now_that_you_are.
qstr_My_friend_I_greet_yo My_friend,_I_greet_you_and_wish_you_peace_in_this_time_of_death.
qstr_We_come_for_your_hor We_come_for_your_horses,_but_we_will_leave_no_one_alive.
qstr_The_great_spirit_has The_great_spirit_has_shown_me_the_way_to_you._Now_I_prove_my_might.
qstr_It_is_a_good_day_to_ It_is_a_good_day_to_die!
qstr_Como_estas?_The_weat Como_estas?_The_weather_is_not_so_bad_right_now._It_makes_the_scalp_come_off_muy_facilmente.
qstr_We_ve_met_a_lot_of_t We've_met_a_lot_of_travelers_so_far._Business_is_good!
qstr_Keep_your_knife_shar Keep_your_knife_sharp._You_never_know_when_you_need_it!
qstr_Hola._It_is_good_tha Hola._It_is_good_that_you_carry_a_scalphunter's_knife._We_will_not_harm_a_compadre._Adios.
qstr_Ah_we_know_by_the_kn Ah,_we_know_by_the_knife_on_your_belt_that_you_must_be_a_scalphunter._We_will_leave_you_be.
qstr_It_seems_you_carry_t It_seems_you_carry_the_scalphunter's_knife._We_could_have_sworn_you_were_an_enemy._Lo_siento.
qstr_You_will_die_like_do You_will_die_like_dogs!
qstr_No_se_preocupe_Amigo No_se_preocupe,_Amigo._Voy_a_conseguir_dinero_para_la_cabeza!
qstr_Yo_quiero_tu_cabeza! Yo_quiero_tu_cabeza!
qstr_We_re_just_trappers_ We're_just_trappers_on_the_way_t'our_next_hunt._Please_don't_scare_none_of_our_game_off,_ya_hear!
qstr_We_re_just_takin__ou We're_just_takin'_our_furs_to_town._We_don't_wanna_cause_no_trouble.
qstr_Just_finished_huntin Just_finished_huntin'_some_nice_bucks_with_me_'n_my_boys._Ya_just_gotta_get_lucky,_that's_all.
qstr_The_next_hunt_can_wa The_next_hunt_can_wait._Looks_like_we_got_some_more_interesting_game_here.
qstr_I_heard_of_someone_m I_heard_of_someone_matching_your_description_that_had_it_in_fer_us_regular_folk.__Now,_tell_me_that_ain't_you?
qstr_Interested_in_visiti Interested_in_visitin'_the_great_hunting_ground_in_the_sky?
qstr_We_re_just_miners_lo We're_just_miners_lookin'_fer_our_next_bonanza._Don't_ya_start_watchin'_where_we're_lookin'!
qstr_We_re_just_thinkin__ We're_just_thinkin'_bout_headin'_back_fer_supplies.__We_don't_wanna_cause_no_trouble.
qstr_Just_finished_minin_ Just_finished_minin'_and_pannin'_half_o'_this_here_country,_and_we_ain't_found_shit.
qstr_Eureka!_Looks_like_w Eureka!_Looks_like_we_just_struck_it_rich._I_bet_you_got_more_gold_in_yer_pockets_than_all_of_California!
qstr_You_look_like_that_f You_look_like_that_feller_that's_been_doing_wrong_by_folks._If'n_you_tangle_with_us,_we'll_fix_that.
qstr_We_know_who_you_are_ We_know_who_you_are,_but_we_don't_want_no_trouble._Just_let_us_be.
qstr_We_re_just_homestead We're_just_homesteaders_lookin'_fer_a_place_to_call_our_own._Please_leave_us_be.
qstr_We_ve_seen_so_much_d We've_seen_so_much_death_on_the_journey_from_the_East._I_sure_hope_life_here_is_better_than_what_we_left_behind.
qstr_We_ve_been_wandering We've_been_wandering_around_this_country,_and_we_still_haven't_seen_anything_like_the_stories_we_heard_back_east.
qstr_We_heard_stories_abo We_heard_stories_about_men_like_you_on_the_way_out._We_don't_want_to_fight,_but_we_will_if_it_comes_to_it.
qstr_We_ain_t_got_nothing We_ain't_got_nothing_worth_stealin',_so_just_let_us_be.
qstr_You_goddamned_bandit You_goddamned_bandits!_Won't_you_just_ever_let_us_poor_folk_be?
qstr_What?_How_in_the_hel What?_How_in_the_hell_did_you_get_here_so_fast?!_We_lost_the_advantage,_boys!_Kill_'em_anyway!
qstr_What_the_hell?_You_r What_the_hell?_You're_not_supposed_to_be_here_yet!_Kill_this_miserable_{reg18?bitch:son_of_a_bitch}_for_makin'_us_look_bad!
qstr_Where_in_the_hell_di Where_in_the_hell_did_you_come_from?_Over_here_boys!_Get_yer_guns_on_and_fight!
qstr_Shit!_You_worthless_ Shit!_You_worthless_bastards_let_'em_sneak_up_on_us!_Kill_'em_fast_before_we're_overrun!
qstr_Here_we_go_boys!_Amb Here_we_go,_boys!_Ambush_{reg18?her:him}_now!
qstr_Ambush_this_miserabl Ambush_this_miserable_{reg18?bitch:son_of_a_bitch}!
qstr_Now_s_our_chance_tha Now's_our_chance_that_the_troops_are_separated!_Ambush_{reg18?her:him}!
qstr_We_re_in_position!_S We're_in_position!_Spring_the_ambush_now!
qstr_Here_we_go_boys!_We_ Here_we_go,_boys!_We_finally_caught_up_to_{reg18?her:him}!
qstr_Catch_this_miserable Catch_this_miserable_{reg18?bitch:son_of_a_bitch}_and_make_{reg18?her:him}_pay_for_runnin'_off!
qstr_Sombody_shoot_this_s Sombody_shoot_this_sneaky_{reg18?whore:bastard}_in_the_leg!_{reg18?She:He}_ain't_runnin'_no_more!
qstr_Let_s_show_this_{reg Let's_show_this_{reg18?whore:bastard}_what_we_do_to_miserable_cowards!
qstr_we_have_made_very_li we_have_made_very_little_progress_so_far
qstr_we_have_suceeded_in_ we_have_suceeded_in_gaining_some_ground,_but_we_still_have_a_long_way_to_go
qstr_we_have_become_a_sig we_have_become_a_significant_force,_and_we_have_an_even_chance_of_victory
qstr_we_are_winning_the_w we_are_winning_the_war,_but_our_enemies_are_still_holding_on.
qstr_we_are_on_the_verge_ we_are_on_the_verge_of_victory._The_remaining_enemies_pose_no_threat,_but_we_still_need_to_hunt_them_down.
qstr__no_fiefs_ (no_fiefs)
qstr__fiefs:_{s0}_ (fiefs:_{s0})
qstr_{playername}_when_we {playername},_when_we_started_our_long_walk,_few_people_had_the_courage_to_support_me._And_fewer_still_would_be_willing_to_put_their_lives_at_risk_for_my_cause._But_you_didn't_hesitate_for_a_moment_in_throwing_yourself_at_my_enemies._We_have_gone_through_a_lot_together,_and_there_were_times_I_came_close_to_losing_all_hope._But_with_God's_help,_we_prevailed._It_is_now_time_for_me_to_leave_your_company_and_take_what's_rightfully_mine._From_now_on,_I_will_carry_out_the_great_responsibility_of_ruling_{s3}._There_still_lie_many_challanges_ahead_and_I_count_on_your_help_in_overcoming_those._And_of_course,_you_will_always_remain_as_my_foremost_vassal.
qstr_{s6}_has_joined_your_ {s6}_has_joined_your_party.
qstr_Your_mission_is_comp Your_mission_is_complete,_{s9}_wants_you_to_resume_following_his_army_until_further_notice.
qstr_{s13}_asked_you_to_g {s13}_asked_you_to_gather_{reg3}_heads_of_cattle_and_deliver_them_back_to_him.
qstr_{s9}_asked_you_to_sc {s9}_asked_you_to_scout_{s13},_{s14}_and_{s15},_then_report_back.
qstr_{s16}_and_{s17} {s16}_and_{s17}
qstr_{s16}_{s17} {s16},_{s17}
qstr_Very_well_I_will_acc Very_well,_I_will_accept_you_back_into_my_ranks,_if_you're_ready_to_swear_your_solemn_oath_once_more.
qstr_A_pardon_will_only_b A_pardon_will_only_be_possible_if_you_are_willing_to_cede_{s17}_to_me._Do_you_agree_my_terms?
qstr_No._There_is_no_chan No._There_is_no_chance_of_peace_between_us,_I_am_not_interested.
qstr_I_am_{s4}_the_army_c I_am_{s4},_the_army_commander_of_{s6}
qstr_I_am_{s4}_a_commandi I_am_{s4},_a_commanding_officer_of_{s6}
qstr_{s9}{reg5?_and_the_o {s9}{reg5?_and_the_owner_of_{s8}.:.
qstr_We_are_not_at_war_wi We_are_not_at_war_with_anyone.
qstr_We_are_at_war_with_{ We_are_at_war_with_{s12}.
qstr_Prior_argument_effec Prior_argument_effect:_{reg6},_rebellion_chance:_{reg7}
qstr_Rebellion_chance__30 Rebellion_chance_-30_from_rival_=_{reg7}
qstr_Consistency_check:_{ Consistency_check:_{reg10}/{reg11}
qstr_Current_argument_eff Current_argument_effect:_{reg6},_rebellion_chance:_{reg7}
qstr_Persuasion_effect:_{ Persuasion_effect:_{reg6},_rebellion_chance:_{reg7}
qstr_Personal_relation_ef Personal_relation_effect:_{reg6},_rebellion_chance:_{reg7}
qstr_Rebellion_check:_{re Rebellion_check:_{reg6}
qstr_You_promised_to_help You_promised_to_help_{s13}_claim_the_throne_of_{s14}.
qstr_a_Sawn_Off_Wincheste a_Sawn-Off_Winchester
qstr_25_bucks 25_bucks
qstr_{s9}_asked_you_to_ta {s9}_asked_you_to_take_a_message_to_{s13}._{s13}_was_believed_to_be_at_{s4}_when_you_were_given_this_quest.
qstr_{s9}_asked_you_to_tak {s9}_asked_you_to_take_a_message_to_{s13}_of_{s15}._{s13}_was_believed_to_be_at_{s4}_when_you_were_given_this_quest.
qstr_{s11}_asked_you_to_e {s11}_asked_you_to_escort_his_{s17}_{s13}_to_{s14}.
qstr_{s13}_asked_you_to_d {s13}_asked_you_to_deal_with_the_bandits_who_are_occupying_the_village_of_{s15}_and_then_report_back_to_him.
qstr_{s9}_asked_you_to_ra {s9}_asked_you_to_raise_{reg1}_{s14}_and_bring_them_to_him.
qstr_{s9}_asked_you_to_co {s9}_asked_you_to_collect_taxes_from_{s3}._He_offered_to_leave_you_one-fifth_of_all_the_money_you_collect_there.
qstr_{s9}_asked_you_to_hu {s9}_asked_you_to_hunt_down_a_fugitive_named_{s4}._He_is_currently_believed_to_be_at_{s3}.
qstr_{s9}_asked_you_to_as {s9}_asked_you_to_assassinate_a_local_rancher_at_{s3}.
qstr_{s9}_has_asked_you_t {s9}_has_asked_you_to_meet_with_a_spy_in_{s13}.
qstr_{s9}_asked_you_to_ca {s9}_asked_you_to_capture_and_loot_{reg13}_carriages_so_as_to_provoke_a_war_with_{s13}.
qstr_{s9}_asked_you_to_cat {s9}_asked_you_to_catch_the_three_groups_of_runaway_serfs_and_bring_them_back_to_{s4},_alive_and_breathing._He_said_that_all_three_groups_are_heading_towards_{s3}.
qstr_{s11}_asked_you_to_f {s11}_asked_you_to_follow_the_spy_that_will_leave_{s12}._Be_careful_not_to_let_the_spy_see_you_on_the_way,_or_he_may_get_suspicious_and_turn_back._Once_the_spy_meets_with_his_accomplice,_you_are_to_capture_them_and_bring_them_back_to_{s11}.
qstr_{s11}_asked_you_to_c {s11}_asked_you_to_capture_a_commanding_officer_from_{s13},_any_noble,_and_then_drag_your_victim_back_to_{s11}_for_safekeeping.
qstr_{s9}_asked_you_to_le {s9}_asked_you_to_lend_your_companion_{s3}_to_him_for_a_week.
qstr_{s9}_asked_you_to_col {s9}_asked_you_to_collect_the_debt_of_{reg4}_cents_{s3}_owes_to_him._{s3}_was_at_{s4}_when_you_were_given_this_quest.
qstr_{s11}_gave_you_a_fak {s11}_gave_you_a_fake_letter_to_fool_{s13}_into_banishing_his_officer_{s16}._You_are_to_go_near_{s14},_give_the_letter_to_one_of_your_{s15}_and_send_him_into_the_town_as_a_messenger,_believing_his_orders_to_be_genuine.
qstr_{s9}_has_requested_y {s9}_has_requested_you_to_bring_him_{reg1}_{s3}_as_prisoners.
