stringsfile version 1
1629
str_no_string NO_STRING!
str_npc10_backstory_c I_snuck_into_their_camp_under_nightfall._Their_warriors_were_celebrating_and_many_were_very_drunk._I_found_the_tent_that_held_my_children,_and_it_was_guarded_by_two_Apache_boys._They_saw_me_as_I_crept_closer,_and_the_first_boy_ran_at_me_with_his_tomahawk._I_gutted_him_with_my_machete._As_I_finished,_I_saw_that_the_second_boy_held_a_pistol_against_the_head_of_one_of_my_girls,_and_a_knife_across_the_neck_of_the_other.
str_npc11_backstory_c I_alone_was_spared_for_my_beauty,_and_I_was_given_to_an_army_commander._That_snake_thought_he_could_make_me_love_him,_and_we_were_married_in_the_white_man's_way._The_first_chance_I_had,_I_slit_his_throat_in_his_sleep_and_stole_away_on_his_horse.
str_npc12_backstory_c I've_killed_more_men_than_I_can_count,_too_many_of_'em_young_boys_with_more_balls_than_brains.
str_npc13_backstory_c Both_of_my_parents_had_a_bad_run_of_dysentery_and_died,_and_I_had_to_leave_the_tribe_and_learn_to_fend_for_myself._Turns_out_that_a_man_that_can_speak_several_native_languages_is_a_popular_man_'round_here._I_serve_as_an_interpreter_for_whoever_pays_from_time_to_time._So_you_in_the_market_for_an_interpreter?
str_npc14_backstory_c I_speak_of_the_white_man._We_dog_soldiers_have_pledged_an_oath_to_fight_the_white_man_wherever_he_roams_our_lands._As_the_white_man_has_traveled,_our_brothers_and_sisters_have_disappeared._Surely_you_have_heard_of_the_massacre_at_Sand_Creek?
str_npc15_backstory_c I_was_branded_as_a_coward,_and_I_acted_brashly._For_my_sins,_I_was_outcast._I_knew_that_Red_Cloud_would_lead_our_warriors_in_battle,_and_so_I_rode_south_for_many_miles._I_have_ridden_so_far_now_that_I_do_not_recognize_the_land_in_which_I_am_in._My_horse_has_carried_me_far,_but_did_not_survive_the_long_trek_across_this_arid_land.
str_npc16_backstory_c Ma_and_Pa_was_so_excited_'bout_starting_up_a_new_life_in_all_the_'vailable_land_in_Texas,_that_they_didn't_realize_they_had_steered_us_right_into_goddamned_Comanche_country!_They_attacked_and_killed_everyone_but_me._I_survived_cause_a_horse_died_and_fell_on_top_of_me,_and_cause_a_posse_had_heard_all_the_shootin'_and_rode_to_our_rescue._They_found_me_in_such_a_mess_that_they_nicknamed_me_'Catastrophe_Jill'.
str_npc17_backstory_c I've_worked_a_bit_here_and_there_on_my_way_out_here._My_favorite_job_so_far_has_been_swingin'_the_hammer_on_the_rails._I_met_some_good_fellas_doin'_that,_and_learned_some_good_work_songs_too._The_money_wasn't_so_great_though,_but_it_beats_bein'_a_slave.
str_npc18_backstory_c Now_you_might_be_wonderin'_why_I'm_in_such_a_hurry._Well,_you_see,_I_like_makin'_money_doin'_bad_stuff.
str_npc1_backstory_later I've_been_bored_to_death._Proper_gentlemen_like_myself_need_adequate_entertainment_and_adventuring.
str_npc2_backstory_later I_still_do_not_have_job_and_barely_have_one_dollar!_Please_hire_me!
str_npc3_backstory_later I_bet_you'll_like_my_jokes.
str_npc4_backstory_later Mate,_you_know_I'm_fully_sick_with_my_pepperbox.
str_npc5_backstory_later Problem_is,_I've_made_many_friends_and_learned_many_things,_but_locals_are_poor_and_I_can't_even_afford_to_buy_a_surgeon_kit_or_any_decent_medicine_to_help_those_in_need.
str_npc6_backstory_later I_swear_to_god_I'll_kill_the_first_Injun_I_see._You_with_me_or_not?
str_npc7_backstory_later Welcome_again._My_scouting_services_are_still_available_if_you_are_now_interested.
str_npc8_backstory_later Hey_again._You_look_like_you_need_a_crack_shot.__I_could_tell_you_another_war_story...
str_npc9_backstory_later Howdy_mister!_You_lookin'_to_sample_my_culinary_delights?
str_npc10_backstory_later I_am_still_looking_for_a_way_to_kill_as_many_Indians_as_possible.
str_npc11_backstory_later Hello_again._Mah-wis-ah_has_sensed_the_death_around_your_spirit_and_is_pleased.
str_npc12_backstory_later Howdy_again!_You_know,_I'm_still_lookin'_for_a_way_outta_this_place.
str_npc13_backstory_later Hiya!_Are_you_lookin_for_my_help_this_time,_or_you_gonna_make_fun_of_my_looks?
str_npc14_backstory_later My_friend._Have_you_considered_what_I_spoke_to_you_about_before?
str_npc15_backstory_later I_greet_you_{playername}._Have_you_come_to_learn_what_I_have_to_teach?
str_npc16_backstory_later Hey_again,_Pard._I_think_my_luck's_turnin'_around._Lookin'_to_hire?
str_npc17_backstory_later Hey_again_{playername}._You_need_my_help?
str_npc18_backstory_later Hey_there,_{playername}.
str_npc1_backstory_response_1 Well_that_sounds_alright_with_me_Pilgrim._If_your_shootin's_half_as_fancy_as_your_talkin'_then_you're_hired.
str_npc2_backstory_response_1 Well,_I_guess_I_could_offer_you_work._Can_you_fight?
str_npc3_backstory_response_1 Clown...can_I_call_you_clown?_How_you_been_makin'_a_living_lately?
str_npc4_backstory_response_1 Well,_'mate',_I_could_use_another_mate._Any_good_with_guns?
str_npc5_backstory_response_1 Well,_Mr._Val,_err,_Doctor_Val._Can_I_call_you_Val?_Are_you_any_good_with_guns_too?
str_npc6_backstory_response_1 You_know,_I_could_use_someone_like_you_in_my_company.
str_npc7_backstory_response_1 Hmm..
str_npc8_backstory_response_1 Ah,_an_idealist.
str_npc9_backstory_response_1 Hmm...that_sounds_alright_I_suppose._Can_you_cook_more_than_just_Irish_food?
str_npc10_backstory_response_1 What_happened_next?
str_npc11_backstory_response_1 I_think_somebody_needs_a_hug!
str_npc12_backstory_response_1 Where_are_you_goin'_with_this,_Jim?
str_npc13_backstory_response_1 I_don't_have_much_problem_speaking_with_the_natives,_but_I_could_still_use_a_hand.
str_npc14_backstory_response_1 Yes_I_have._Black_Kettle_was_a_great_leader_to_the_Cheyenne.
str_npc15_backstory_response_1 Sounds_like_you're_running_out_of_options.
str_npc16_backstory_response_1 That's_a_hell_of_a_story,_Jill.
str_npc17_backstory_response_1 Yeah,_now_that's_the_truth.
str_npc18_backstory_response_1 Tell_me_more.
str_npc1_backstory_response_2 Sorry_Chuck,_we_don't_need_no_pampered_dude_slowing_us_down._Try_not_to_get_yourself_shot_on_your_way_back_East.
str_npc2_backstory_response_2 Sorry,_Chinaman,_but_I'm_not_interested._Good_day.
str_npc3_backstory_response_2 Here's_a_joke:_what_do_you_call_a_thousand_clowns_at_the_bottom_of_the_Rio_Grande?_A_good_start.
str_npc4_backstory_response_2 Sorry,_'mate',_but_I'm_not_interested.
str_npc5_backstory_response_2 Sorry,_Doc,_maybe_another_time.
str_npc6_backstory_response_2 You're_a_god_damn_asshole.
str_npc7_backstory_response_2 Nah,_you're_no_use_to_me_now.
str_npc8_backstory_response_2 I_know_where_you're_goin'_with_this,_and_I'm_not_intested.__Bye.
str_npc9_backstory_response_2 Sorry,_I'll_pass_on_the_bangers_and_mash._Thanks_though.
str_npc10_backstory_response_2 If_I_wanted_a_bedtime_story,_I_would_have_asked_for_one._Adios.
str_npc11_backstory_response_2 And_that's_why_I'm_leaving!_Bye!
str_npc12_backstory_response_2 Oh_my!_I_think_I_see_another_challenger_coming_this_way._I_better_take_cover!
str_npc13_backstory_response_2 I_don't_think_so_Romeo._You're_just_too_damn_ugly.
str_npc14_backstory_response_2 The_way_I_heard_it,_it_was_a_glorious_victory_for_the_United_States_army._Be_seein'_you_around.
str_npc15_backstory_response_2 Yeah,_that_will_happen._Good_luck_with_all_that.
str_npc16_backstory_response_2 Yawn.
str_npc17_backstory_response_2 Everytime_I_hear_'Someone's_in_the_kitchen_with_Dinah',_I_want_to_strangle_somebody._I'm_leaving_now_for_your_protection.
str_npc18_backstory_response_2 I_gotta_go,_sorry.
str_npc1_signup I_do_declare,_that_is_excellent_news!
str_npc2_signup I_have_use_pick_axe_before_to_kill_man!_You_are_sure_I_kill_any_body_who_try_mess_with_you!
str_npc3_signup Rodeos,_mostly._Y'ever_heard_of_a_rodeo?_They're_this_new_thing_they_got_going,_like_Mexican_bullfighting._Anyway,_they_been_hiring_lots_of_clowns._Cowboy_falls_off_the_bull,_we_distract_it_and_pull_'em_to_safety.
str_npc4_signup Oh_yer,_mate._I_nabbed_this_sick_pepperbox_from_the_Ozzie_cops_back_in_Bendigo._I'm_fully_great_with_it.
str_npc5_signup Sure._I've_killed_my_fair_share_of_deer_and_buffalo_with_my_old_Smith._Hunting_is_something_I've_been_doing_a_lot_lately_as_food_can_be_hard_to_come_by_out_here_in_the_West.
str_npc6_signup Shit,_I_got_no_motivation_anymore_to_do_nothin'._Just_wanderin'_around,_thinkin'_about_shootin'_myself_right_through_the_head.
str_npc7_signup I_must_eat,_and_I_have_no_other_skill_besides_that_of_a_scout.
str_npc8_signup But_that_don't_put_food_in_my_belly.
str_npc9_signup Oh,_yes_indeed._My_cookin'_is_positively_delightful,_and_I_guarantee_that_everyone_will_love_it!_Nothin'_helps_morale_on_the_trail_like_a_world_famous_cook!
str_npc10_signup That_Apache_fired_his_pistol_and_killed_my_oldest_daughter._I_did_not_move._He_still_held_my_youngest's_life_on_the_edge_of_his_knife._Then...he_slit_her_throat._I_ran_at_him_with_all_of_my_might,_and_I_lopped_his_head_clean_off.
str_npc11_signup Now_I_have_nothing._I_have_only_hate_in_my_heart._I_will_spend_my_days_giving_to_others_the_pain_that_the_great_spirit_has_given_me.
str_npc12_signup Aw_hell!_Let_me_finish!_I'm_trying_to_ask_ya_for_a_chance_to_get_out_of_this_life,_before_it_kills_me._I_don't_care_what_I_do,_long_as_it_ain't_cards_and_it_ain't_killing.
str_npc13_signup Well_that's_great!_I'll_find_other_ways_to_help,_you_just_wait_and_see!
str_npc14_signup Yes,_and_unless_we_act_now,_that_same_fate_will_one_day_come_to_you_and_your_tribe._It_makes_no_difference_if_you_live_in_the_desert,_or_the_plains,_or_the_great_ocean._The_white_man's_greed_knows_no_boundaries.
str_npc15_signup I_cannot_live_amongst_my_people_and_I_cannot_survive_here._This_is_why_I_am_now_called_Tears-in-his-eyes.
str_npc16_signup That_posse_was_full_a'_the_finest_men_I_ever_met._They_taught_me_ta_ride_hard_and_live_hard,_and_ta_drink_and_cuss_and_fight_like_a_man.
str_npc17_signup I've_been_pushing_west,_and_I_haven't_really_gotten_settled_in_yet_around_here._I_gotta_admit,_this_place_is_a_lot_wilder_than_I_expected._Before_I_got_here,_I_thought_the_only_thing_'wild'_here_was_the_exaggerations.
str_npc18_signup Well,_I_used_to_be_in_the_Union_Army,_but_I_ended_up_deserting_cause_I_got_sick_of_the_military_lifestyle.
str_npc1_signup_2 Only,_and_I_hate_to_ask_this_favor_as_we've_only_just_met,_but_I_seem_to_have_run_up_quite_the_tab_at_the_local_sporting_house.
str_npc2_signup_2 I_know_much_about_engineer_and_build!_I_can_be_good_fighter_too!_You_man_buy_me_gun!
str_npc3_signup_2 Well,_usually._Sometimes_we_end_up_cleaning_him_up_with_a_mop._(hic)_You_looking_for_a_hired_gun?_My_parasol_is_also_a_gun.
str_npc4_signup_2 So_what_d'you_reckon,_mate?
str_npc5_signup_2 Still_interested?
str_npc6_signup_2 One_of_these_days,_I_swear_I'm_gonna_do_it.
str_npc7_signup_2 I_know_this_land_better_than_any_other,_and_you_will_find_me_to_be_a_skilled_warrior.
str_npc8_signup_2 Since_I'm_so_hard_up_to_find_someone_to_talk_to_around_here,_I'll_let_you_contract_out_my_services.
str_npc9_signup_2 And_you_know,_cookin'_ain't_the_only_thing_I_can_do_that's_world_famous._One_night_with_me_and_you'll_know_what_I_mean...
str_npc10_signup_2 The_warriors_of_the_village_had_heard_the_gun_shot_and_were_approaching._I_ran,_but_was_hit_by_bullets_and_arrows_many_times._I_escaped_by_plunging_into_a_river._For_many_days_in_the_desert,_I_used_peyote_to_numb_the_pain._I_was_spoken_to_in_a_dream,_and_I_was_told_that_I_was_to_kill_Indians_for_the_rest_of_my_life.
str_npc11_signup_2 As_the_last_of_my_tribe,_it_is_up_to_me_to_see_that_our_enemies_feel_our_wrath._I_am_a_ghost._I_am_a_knife_in_the_night.
str_npc12_signup_2 Now,_I_got_lots_of_other_skills_besides_killin'._Take_for_example_my_extensive_knowledge_of_fine_whiskeys!_And_how_I_can_positively_identify_twenty_different_species_of_cactii._Okay,_maybe_this_ain't_gonna_work_so_well.
str_npc13_signup_2 I'm_not_much_with_a_rifle,_but_I'm_a_quick_study._I_also_know_a_little_about_what_makes_an_expedition_successful._I'm_an_decent_trader,_and_I_can_throw_a_knife_pretty_well_when_I_have_to.
str_npc14_signup_2 Allow_me_to_join_you._I_know_much_of_battle,_and_I_can_see_that_we_will_accomplish_much_in_the_fight_against_the_white_man.
str_npc15_signup_2 I_am_a_proud_and_wise._I_have_much_to_offer_to_one_who_will_listen.
str_npc16_signup_2 But_ever_since_my_accident,_my_luck_has_been_pure_shit._People_around_me_die_in_terrible_accidents,_but_no_harm_ever_comes_ta_me._It_don't_make_no_fuckin'_sense,_I_tell_ya._Every_member_of_that_posse_is_dead_today_'cause_of_my_curse._There's_one_thing_I_do_know_though._While_it_may_not_be_true_for_you,_this_curse_makes_me_bullet_proof._And_that's_why_you're_gonna_hire_me.
str_npc17_signup_2 I'm_looking_for_somethin'_steady_that_pays_well._I_ain't_picky._And_if_I_get_to_swing_my_hammer,_then_I'll_be_that_much_happier._You_got_somethin'_like_that?
str_npc18_signup_2 Now,_I_do_some_of_the_same_things_I_did_in_Sherman's_army._But_I_do_'em_my_own_way._Say,_would_you_have_any_need_for_a_fast-fingered_pistolier?
str_npc1_signup_response_1 You_have?
str_npc2_signup_response_1 Alright,_this_might_work.
str_npc3_signup_response_1 Doesn't_the_parasol_get_in_your_way_when_you_shoot?
str_npc4_signup_response_1 I_reckon_you_could_be_hired.
str_npc5_signup_response_1 I_sure_am!
str_npc6_signup_response_1 You're_just_what_I'm_looking_for._How_about_a_job_fighting_under_my_command?
str_npc7_signup_response_1 Sounds_interesting...
str_npc8_signup_response_1 Speakin'_of_food_in_your_belly,_how_would_you_like_to_work_for_me?
str_npc9_signup_response_1 Um...I_think_you_should_stick_to_cooking.
str_npc10_signup_response_1 Whoa._Well,_if_you_join_me,_you_can_kill_as_many_Indians_as_you_want.
str_npc11_signup_response_1 Um...okay,_you_can_join_on_one_condition:_You_don't_sleep_by_me.
str_npc12_signup_response_1 Well,_I_can't_promise_about_the_killin',_but_I'll_keep_you_away_from_the_tables.
str_npc13_signup_response_1 Alright,_Romeo._I'm_willing_to_give_this_a_shot._How_much_will_it_cost_me?
str_npc14_signup_response_1 Yes!_Let_us_show_the_white_man_the_meaning_of_the_word_massacre!
str_npc15_signup_response_1 I'm_listening._What_do_you_need_from_me?
str_npc16_signup_response_1 I_seriously_doubt_you're_bullet_proof,_but_what_the_hell?_Let's_find_out.
str_npc17_signup_response_1 Yeah,_I've_got_a_use_for_a_big_fella_like_you.
str_npc18_signup_response_1 Sure_do.
str_npc1_signup_response_2 Enough,_you_snob._I've_wasted_enough_time_on_you.
str_npc2_signup_response_2 Sorry,_Chinaman,_but_it_doesn't_sound_like_I'll_be_needing_your_lackluster_skillset.
str_npc3_signup_response_2 It'll_be_a_cold_day_in_hell_before_I_let_a_clown_have_a_gun.
str_npc4_signup_response_2 I_reckon_maybe_later.
str_npc5_signup_response_2 I_need_more_than_just_a_deer_hunter_with_a_bag_of_bandages.
str_npc6_signup_response_2 Don't_let_me_stop_you.
str_npc7_signup_response_2 I_don't_need_another_man_with_too_many_enemies._I_have_enough_myself.
str_npc8_signup_response_2 Nah,_I_already_have_just_the_men_I_need.
str_npc9_signup_response_2 And...there_goes_my_appetite._Goodbye!
str_npc10_signup_response_2 You're_too_messed_up,_Amigo._Adios.
str_npc11_signup_response_2 Way._Too._Crazy.
str_npc12_signup_response_2 No_can_do,_Hickory._Enjoy_your_fame_anyhow.
str_npc13_signup_response_2 I_think_I_saw_a_beetle_in_your_teeth_when_you_were_talking._Too_gross_for_me.
str_npc14_signup_response_2 I_think_I'm_too_easy_going_of_a_guy_to_be_hanging_around_with_a_militant_like_you._Goodbye.
str_npc15_signup_response_2 Sorry,_I_think_I_need_someone_more_militant.
str_npc16_signup_response_2 The_last_bullet_proof_man_I_knew_died_showing_his_soldiers_his_strong_medicine._No_thanks.
str_npc17_signup_response_2 Sorry,_Sam._You_don't_want_nothin'_to_do_with_the_work_I_do.
str_npc18_signup_response_2 Nope._I'm_out._Bye.
str_npc1_payment Could_you_perchance_see_fit_to_front_the_bill?_It_would_only_cost_you_six_dollars._I_only_ask_as_you_are_so_obviously_a_person_of_means.
str_npc2_payment Yes!_I_want_job!_Only_two_dollar!
str_npc3_payment And_how_do_YOU_propose_I_keep_blood_off_my_clown_suit?_Sheesh._So_do_you_want_in_or_not?_Step_right_up,_admission_is_two_dollars.
str_npc4_payment One_last_thing,_mate._I've_basically_not_got_any_money._D'you_think_you_could_lend_me,_like,_six_dollars?
str_npc5_payment Wait,_before_we_go._I'm_practically_broke._I'll_need_at_least_ten_dollars_to_cover_supplies_of_medicine_and_equipment.
str_npc6_payment That_ain't_enough_to_convince_me._Maybe_six_dollars'll_be_enough_to_change_my_mind.
str_npc7_payment I_will_take_you_anywhere_for_six_dollars_and_a_regular_wage.
str_npc8_payment Eight_dollars_up_front_gets_you_tickets_to_see_the_Union's_secret_weapon._What_do_you_say?
str_npc9_payment Hmmph...suit_yourself,_but_I_ain't_never_had_no_complaints._Now_you'll_have_the_pleasure_of_my_company_for_just_four_dollars._That'll_cover_my_first_payment_and_the_purchasing_of_the_spices_I'll_require_as_your_official_cookmaster.
str_npc10_payment I_am_an_Indian_bounty_hunter,_but_I_am_not_cheap._I_will_cut_you_a_deal,_as_I_expect_too_kill_many_in_your_company._How_does_six_dollars_sound?
str_npc11_payment I_need_very_little,_but_I_do_need_four_dollars_for_reasons_that_are_my_own._I_will_be_poor_with_coin,_but_rich_with_the_blood_of_my_enemies.
str_npc12_payment Well_ain't_that_a_daisy!_Now_I_need_a_small_retainer_to_cover_my_current_debts._Six_dollars_ought_to_cover_me_for_now._I'll_even_throw_in_that_autograph._What_do_you_say,_partner?
str_npc13_payment Seeing_as_my_interpreter_skills_won't_be_needed,_I_can't_exactly_charge_you_my_goin'_rate._How_about_six_dollars_now_and_a_weekly_payment_based_on_how_well_I_do?
str_npc14_payment Then_it_is_settled._For_my_service_I_require_enough_money_to_buy_the_many_arrows_with_which_I_will_destory_our_enemies._I_will_need_eight_dollars.
str_npc15_payment I_need_food_and_a_weapon_to_defend_myself_with._That_is_all_I_require._Four_dollars_will_be_enough.
str_npc16_payment Yeehaw!_Now,_I'm_as_dry_as_a_crusty_fuckin'_lizard_shit_on_the_hottest_day_of_the_year._I_need_some_cash_to_stock_up_some_whiskey._Six_dollars_ought_to_cover_it.__Well?
str_npc17_payment Alright._I_don't_know_what_I'll_be_doing,_but_I'll_do_it._I_think_eight_dollars_should_be_fair?
str_npc18_payment I_don't_mind_bein'_told_what_to_do_as_long_as_you_don't_tell_me_too_loudly_and_there's_a_few_dollars_involved._How_about_six_dollars_to_start?
str_npc1_payment_response But_of_course,_Charles!_Let_me_just_get_out_my_billfold.(snicker.)
str_npc2_payment_response Alright,_but_you_better_be_damn_good_at_building_things.
str_npc3_payment_response I'll_take_one,_please.
str_npc4_payment_response Yeah,_I've_got_about_that_much_with_me.
str_npc5_payment_response You_certainly_aren't_cheap._This_better_be_worth_it.
str_npc6_payment_response I've_got_your_money._Don't_go_killing_yourself_under_my_watch,_now.
str_npc7_payment_response You_are_hired._No_need_to_put_me_on_your_enemy_list.
str_npc8_payment_response When_you_put_it_like_that,_how_can_I_refuse?__Welcome_aboard.
str_npc9_payment_response Well_alright._Let's_see_how_your_cookin'_is.
str_npc10_payment_response Sounds_perfect._Welcome_aboard,_Peyote_Pablo.
str_npc11_payment_response Sold._Get_that_knife_sharpened_up.
str_npc12_payment_response It's_a_deal,_but_you_can_keep_the_autograph.
str_npc13_payment_response Sounds_great._Glad_to_have_you_with_us_Romeo.
str_npc14_payment_response Well,_this_ought_to_cover_it.__Get_yourself_some_arrows_and_I'll_meet_you_on_the_way_out_of_town.
str_npc15_payment_response Here's_your_money._Buy_what_you_need._And_welcome_to_the_team.
str_npc16_payment_response Booze_and_bullets,_huh?_Take_the_money,_but_go_easy_on_the_whiskey.
str_npc17_payment_response Fair_and_Square._Here's_your_money._Let's_see_what_you_can_do.
str_npc18_payment_response That'll_work._Welcome_aboard.
str_npc1_morality_speech I_must_say_that_an_adventurer's_life_is_hard,_but_it's_a_bit_much_that_we_{s21}._Please_take_a_bit_more_care_in_the_future,_if_you_don't_mind_my_saying.
str_npc2_morality_speech I_not_rikey_when_we_{s21}._Stop_do_it_or_I_get_angry!
str_npc3_morality_speech You_probably_already_know_this,_but_clowns_hate_{s21}!
str_npc4_morality_speech Mate,_really_not_a_fan_of_when_we_{s21}._I'd_say_you_ought_to_stop.
str_npc5_morality_speech I_absolutely_hate_when_we_{s21}._This_must_stop_immediately.
str_npc6_morality_speech Don't_fuckin'_{s21},_ever.
str_npc7_morality_speech The_Great_Spirit_does_not_like_{s21}.
str_npc8_morality_speech I_can't_stand_when_we_{s21}._I_saw_enough_of_that_in_the_war.
str_npc9_morality_speech I_don't_like_when_we_{s21}._It_makes_me_lose_my_appetite.
str_npc10_morality_speech I_don't_like_when_we_{s21}._I'd_rather_be_killing_Indians.
str_npc11_morality_speech I_care_nothing_for_{s21}._It_does_not_honor_my_tribe.
str_npc12_morality_speech Ya_know,_I_can't_say_I_like_{s21}._Why_don't_you_cut_that_shit_out?
str_npc13_morality_speech I_will_speak_plainly._I_do_not_enjoy_when_we_{s21}.
str_npc14_morality_speech We_are_wasting_our_time_{s21}.__There_are_better_ways_to_fight_the_white_man.
str_npc15_morality_speech I_have_said_many_times_that_{s21}_is_not_wise._There_are_better_ways.
str_npc16_morality_speech For_fuck's_sake,_I_fuckin'_hate_{s21}!_You_tryin'_to_drive_me_to_drink?
str_npc17_morality_speech I've_seen_some_messed_up_things_in_my_life,_but_I_can't_stand_{s21}.
str_npc18_morality_speech I've_seen_some_messed_up_things_in_my_life,_but_I_can't_stand_{s21}.
str_npc1_2ary_morality_speech I_thought_you_would_very_much_enjoy_hearing_that_I've_no_problem_if_we_{s21}._Living_to_fight_another_is_a_good_practice_by_me.
str_npc2_2ary_morality_speech I_rikey_my_new_job!_{s21}_make_me_very_happy!
str_npc3_2ary_morality_speech Clowns_really_enjoy_{s21}.
str_npc4_2ary_morality_speech Mate,_for_fuck's_sake,_we_gotta_do_more_{s21}!_It's_fully_sick!
str_npc5_2ary_morality_speech I_do_think_that_the_decision_to_{s21}_was_the_proper_course_of_action,_and_I_support_your_judgement.
str_npc6_2ary_morality_speech Don't_fuckin'_{s21},_ever.
str_npc7_2ary_morality_speech The_Great_Spirit_does_not_like_{s21}.
str_npc8_2ary_morality_speech I_can't_stand_when_we_{s21}._I_saw_enough_of_that_in_the_war.
str_npc9_2ary_morality_speech I_don't_like_when_we_{s21}._It_makes_me_lose_my_appetite.
str_npc10_2ary_morality_speech I_don't_like_when_we_{s21}._I'd_rather_be_killing_Indians.
str_npc11_2ary_morality_speech I_care_nothing_for_{s21}._It_does_not_honor_my_tribe.
str_npc12_2ary_morality_speech Ya_know,_I_can't_say_I_like_{s21}._Why_don't_you_cut_that_shit_out?
str_npc13_2ary_morality_speech I_will_speak_plainly._I_do_not_enjoy_when_we_{s21}.
str_npc14_2ary_morality_speech We_are_wasting_our_time_{s21}.__There_are_better_ways_to_fight_the_white_man.
str_npc15_2ary_morality_speech I_have_said_many_times_that_{s21}_is_not_wise._There_are_better_ways.
str_npc16_2ary_morality_speech For_fuck's_sake,_I_fuckin'_hate_{s21}!_You_tryin'_to_drive_me_to_drink?
str_npc17_2ary_morality_speech I've_seen_some_messed_up_things_in_my_life,_but_I_can't_stand_{s21}.
str_npc18_2ary_morality_speech I've_seen_some_messed_up_things_in_my_life,_but_I_can't_stand_{s21}.
str_npc1_personalityclash_speech No_offense,_but_I'm_a_bit_tired_of_{s11},_who_puts_on_airs_like_as_if_he's_come_directly_from_a_family_of_considerable_means.
str_npc2_personalityclash_speech I_am_big_strong_miner_man!_So_nobody_mess_with_me!
str_npc3_personalityclash_speech I_only_hate_a_few_things.
str_npc4_personalityclash_speech I_really_don't_think_of_{s11}._A_bit_useless,_mate.
str_npc5_personalityclash_speech NA_-_A_bit_excessive,_don't_ya_think?
str_npc6_personalityclash_speech NA_-_Well,_shit,_that_just_ain't_necessary.
str_npc7_personalityclash_speech NA
str_npc8_personalityclash_speech NA
str_npc9_personalityclash_speech NA
str_npc10_personalityclash_speech NA
str_npc11_personalityclash_speech NA
str_npc12_personalityclash_speech NA
str_npc13_personalityclash_speech NA
str_npc14_personalityclash_speech NA
str_npc15_personalityclash_speech NA
str_npc16_personalityclash_speech NA
str_npc17_personalityclash_speech NA
str_npc18_personalityclash_speech NA
str_npc1_personalityclash_speech_b He's_nothing_more_than_a_common_ruffian,_and_has_no_right_to_spin_such_exorbitant_and_fictional_stories_about_his_upbringing.
str_npc2_personalityclash_speech_b I_do_not_like_hear_{s11}_talk_all_day!_He_so_annoying!
str_npc3_personalityclash_speech_b {s11}_is_one_of_them._He_makes_me_want_to_shoot_myself_out_of_a_cannon.
str_npc4_personalityclash_speech_b Truly_not_sick,_I_reckon.
str_npc5_personalityclash_speech_b NA_-_I'm_a_patient_man...
str_npc6_personalityclash_speech_b NA_-_I'm_tired_of_this.
str_npc7_personalityclash_speech_b NA
str_npc8_personalityclash_speech_b NA
str_npc9_personalityclash_speech_b NA
str_npc10_personalityclash_speech_b NA
str_npc11_personalityclash_speech_b NA
str_npc12_personalityclash_speech_b NA
str_npc13_personalityclash_speech_b NA
str_npc14_personalityclash_speech_b NA
str_npc15_personalityclash_speech_b NA
str_npc16_personalityclash_speech_b NA
str_npc17_personalityclash_speech_b NA
str_npc18_personalityclash_speech_b NA
str_npc1_personalityclash2_speech I_fancy_myself_a_rugged_soul,_but_I_don't_particularly_like_how_{s11}_went_about_cutting_the_throats_of_the_enemy_wounded_back_there.
str_npc2_personalityclash2_speech I_am_vely_unhappy_with_{s11}!_Next_we_fight_do_not_make_me_go_near_him!
str_npc3_personalityclash2_speech I'd_like_to_put_{s11}_in_an_exploding_barrel._I_can_make_it_funny_too.
str_npc4_personalityclash2_speech {s11}'s_got_a_few_kangaroos_loose_in_the_top_paddock._Rather_not_be_near_him_when_we_get_in_a_barney.
str_npc5_personalityclash2_speech {s11}'s_a_bit_of_a_donkey._Rather_not_be_near_him_next_battle.
str_npc6_personalityclash2_speech {s11}_is_one_dumb_motherfucker._Jesus_Christ.
str_npc7_personalityclash2_speech {s11}_has_no_respect_for_the_earth.
str_npc8_personalityclash2_speech Where_did_you_find,_{s11}?_I_thought_the_dumbest_folks_was_supposed_to_get_killed_out_here.
str_npc9_personalityclash2_speech {s11}_had_the_nerve_to_call_my_cookin'_horse_chow!
str_npc10_personalityclash2_speech {s11}_would_be_better_off_dead._You_should_let_me_do_this_for_you.
str_npc11_personalityclash2_speech I_hope_that_one_day_{s11}_can_share_my_fate.
str_npc12_personalityclash2_speech That_{s11}_is_a_goddamned_piece_of_work.
str_npc13_personalityclash2_speech There_is_no_word_in_the_Comanche_language_that_quite_describes_{s11}.
str_npc14_personalityclash2_speech Why_you_share_your_company_with_{s11}_is_beyond_my_understanding.
str_npc15_personalityclash2_speech I_have_much_to_teach,_but_only_to_those_who_listen.
str_npc16_personalityclash2_speech I_sware_to_fuckin'_christ_our_savior,_I'm_gonna_stomp_{s11}_down_with_my_boot_heel.
str_npc17_personalityclash2_speech {s11}_is_pushin_buttons_he_ought_not_be_touchin'._I've_driven_spikes_bigger_than_him_into_into_the_ground.
str_npc18_personalityclash2_speech {s11}_is_pushin_buttons_he_ought_not_be_touchin'._I've_driven_spikes_bigger_than_him_into_into_the_ground.
str_npc1_personalityclash2_speech_b The_mutilation_of_the_dead_may_just_be_fine_by_him,_but_it_puts_a_chill_down_my_spine.
